"chw" "score"
"70c6ba6f55ed21716fe725c2146903eb" Inf
"70c6ba6f55ed21716fe725c2146982df" Inf
"70c6ba6f55ed21716fe725c21469fe3b" Inf
"89fda0284e008d2e0c980fb13f94d6ef" Inf
"89fda0284e008d2e0c980fb13f94e5b7" Inf
"89fda0284e008d2e0c980fb13f952278" Inf
"89fda0284e008d2e0c980fb13f955485" Inf
"89fda0284e008d2e0c980fb13f957a1e" Inf
"89fda0284e008d2e0c980fb13f95b755" Inf
"89fda0284e008d2e0c980fb13f95d481" Inf
"89fda0284e008d2e0c980fb13f95dbc7" Inf
"89fda0284e008d2e0c980fb13f95e9b4" Inf
"89fda0284e008d2e0c980fb13f95f2b4" Inf
"89fda0284e008d2e0c980fb13f95f7a6" Inf
"89fda0284e008d2e0c980fb13f95fe45" Inf
"89fda0284e008d2e0c980fb13f9628e2" Inf
"89fda0284e008d2e0c980fb13f96372c" Inf
"89fda0284e008d2e0c980fb13f96442a" Inf
"89fda0284e008d2e0c980fb13f964b7e" Inf
"89fda0284e008d2e0c980fb13f964e6a" Inf
"89fda0284e008d2e0c980fb13f96554b" Inf
"89fda0284e008d2e0c980fb13f966e31" Inf
"89fda0284e008d2e0c980fb13f966efc" Inf
"89fda0284e008d2e0c980fb13f96807a" Inf
"89fda0284e008d2e0c980fb13f968eb0" Inf
"89fda0284e008d2e0c980fb13f969126" Inf
"89fda0284e008d2e0c980fb13f96ef9f" Inf
"89fda0284e008d2e0c980fb13f97031c" Inf
"89fda0284e008d2e0c980fb13f970c18" Inf
"89fda0284e008d2e0c980fb13f972945" Inf
"89fda0284e008d2e0c980fb13f97722c" Inf
"89fda0284e008d2e0c980fb13f978216" Inf
"89fda0284e008d2e0c980fb13f97850c" Inf
"89fda0284e008d2e0c980fb13f979609" Inf
"89fda0284e008d2e0c980fb13f97bafa" Inf
"89fda0284e008d2e0c980fb13f97cef7" Inf
"89fda0284e008d2e0c980fb13f97d834" Inf
"89fda0284e008d2e0c980fb13f97dff4" Inf
"89fda0284e008d2e0c980fb13f97e56a" Inf
"89fda0284e008d2e0c980fb13f97eeaa" Inf
"89fda0284e008d2e0c980fb13f980116" Inf
"89fda0284e008d2e0c980fb13f985425" Inf
"89fda0284e008d2e0c980fb13f9866e8" Inf
"89fda0284e008d2e0c980fb13f98736b" Inf
"89fda0284e008d2e0c980fb13f98872f" Inf
"89fda0284e008d2e0c980fb13f989136" Inf
"89fda0284e008d2e0c980fb13f98a6d5" Inf
"89fda0284e008d2e0c980fb13f98abea" Inf
"89fda0284e008d2e0c980fb13f98b956" Inf
"89fda0284e008d2e0c980fb13f98d506" Inf
"89fda0284e008d2e0c980fb13f9917a0" Inf
"89fda0284e008d2e0c980fb13f992222" Inf
"89fda0284e008d2e0c980fb13f992875" Inf
"89fda0284e008d2e0c980fb13f994cf8" Inf
"89fda0284e008d2e0c980fb13f995be3" Inf
