"week" "chw" "score" "rank"
"1" 1 "89fda0284e008d2e0c980fb13f957a1e" Inf 1
"2" 1 "89fda0284e008d2e0c980fb13f97cef7" Inf 2
"3" 1 "89fda0284e008d2e0c980fb13f97e56a" 243.073678218757 3
"4" 1 "89fda0284e008d2e0c980fb13f94e5b7" 148.920141022252 4
"5" 1 "89fda0284e008d2e0c980fb13f9a3e49" 135.070062071802 5
"6" 1 "89fda0284e008d2e0c980fb13f951435" 102.552889055558 6
"7" 1 "89fda0284e008d2e0c980fb13f97bdf2" 78.7889896065084 7
"8" 1 "89fda0284e008d2e0c980fb13f9528e1" 72.6022758912126 8
"9" 1 "89fda0284e008d2e0c980fb13f95b755" 71.9093604783981 9
"10" 1 "89fda0284e008d2e0c980fb13f9b5305" 65.639499401056 10
"11" 1 "89fda0284e008d2e0c980fb13f9ad888" 56.4167085424449 11
"12" 1 "89fda0284e008d2e0c980fb13f950d25" 53.7235339071704 12
"13" 1 "89fda0284e008d2e0c980fb13f979609" 44.085559387422 13
"14" 1 "89fda0284e008d2e0c980fb13f97722c" 39.958418274237 14
"15" 1 "89fda0284e008d2e0c980fb13f9ad330" 27.8280680647834 15
"16" 1 "70c6ba6f55ed21716fe725c21469c91d" 25.1837958087938 16
"17" 1 "89fda0284e008d2e0c980fb13f99a86d" 25.1837958087938 17
"18" 1 "89fda0284e008d2e0c980fb13f97a0ca" 19.1548495766608 18
"19" 1 "70c6ba6f55ed21716fe725c21469e6ed" 15.5394069584923 19
"20" 2 "89fda0284e008d2e0c980fb13f99a592" 874.045783876069 1
"21" 2 "89fda0284e008d2e0c980fb13f9a94f7" 368.496320294017 2
"22" 2 "70c6ba6f55ed21716fe725c21469fe3b" 312.336527986295 3
"23" 2 "89fda0284e008d2e0c980fb13f95b755" 155.769970555556 4
"24" 2 "89fda0284e008d2e0c980fb13f99a47e" 144.199760822403 5
"25" 2 "89fda0284e008d2e0c980fb13f98872f" 112.36134039849 6
"26" 2 "89fda0284e008d2e0c980fb13f9a3e49" 81.1006664191635 7
"27" 2 "89fda0284e008d2e0c980fb13f97eeaa" 52.7104565869831 8
"28" 2 "89fda0284e008d2e0c980fb13f981bae" 51.483804913294 9
