"week" "question" "score"
"1" "1" "form.bp2.not_yet_maternal_emergency" "0"
"2" "2" "form.bp2.not_yet_maternal_emergency" "0"
"3" "3" "form.bp2.not_yet_maternal_emergency" "0"
"4" "4" "form.bp2.not_yet_maternal_emergency" "0"
"5" "5" "form.bp2.not_yet_maternal_emergency" "0"
"6" "6" "form.bp2.not_yet_maternal_emergency" "0"
"7" "7" "form.bp2.not_yet_maternal_emergency" "0"
"8" "8" "form.bp2.not_yet_maternal_emergency" "0"
"9" "9" "form.bp2.not_yet_maternal_emergency" "0"
"10" "10" "form.bp2.not_yet_maternal_emergency" "0"
"11" "11" "form.bp2.not_yet_maternal_emergency" "0"
"12" "12" "form.bp2.not_yet_maternal_emergency" "0"
"13" "13" "form.bp2.not_yet_maternal_emergency" "0"
"14" "14" "form.bp2.not_yet_maternal_emergency" "0"
"15" "15" "form.bp2.not_yet_maternal_emergency" "0"
"16" "16" "form.bp2.not_yet_maternal_emergency" "0"
"17" "17" "form.bp2.not_yet_maternal_emergency" "0"
"18" "18" "form.bp2.not_yet_maternal_emergency" "0"
"19" "19" "form.bp2.not_yet_maternal_emergency" "0"
"20" "20" "form.bp2.not_yet_maternal_emergency" "0"
"21" "21" "form.bp2.not_yet_maternal_emergency" "0"
"22" "22" "form.bp2.not_yet_maternal_emergency" "0"
"23" "23" "form.bp2.not_yet_maternal_emergency" "0"
"24" "24" "form.bp2.not_yet_maternal_emergency" "0"
"25" "25" "form.bp2.not_yet_maternal_emergency" "0"
"26" "26" "form.bp2.not_yet_maternal_emergency" "0"
"27" "27" "form.bp2.not_yet_maternal_emergency" "0"
"28" "28" "form.bp2.not_yet_maternal_emergency" "0"
"29" "29" "form.bp2.not_yet_maternal_emergency" "0"
"30" "30" "form.bp2.not_yet_maternal_emergency" "0"
"31" "31" "form.bp2.not_yet_maternal_emergency" "0"
"32" "32" "form.bp2.not_yet_maternal_emergency" "0"
"33" "33" "form.bp2.not_yet_maternal_emergency" "0"
"34" "34" "form.bp2.not_yet_maternal_emergency" "0"
"35" "35" "form.bp2.not_yet_maternal_emergency" "0"
"36" "36" "form.bp2.not_yet_maternal_emergency" "0"
"37" "37" "form.bp2.not_yet_maternal_emergency" "0"
"38" "38" "form.bp2.not_yet_maternal_emergency" "0"
"39" "1" "form.bp1.counsel_ifa" "0"
"40" "2" "form.bp1.counsel_ifa" "0"
"41" "3" "form.bp1.counsel_ifa" "0"
"42" "4" "form.bp1.counsel_ifa" "2.3139433677897"
"43" "5" "form.bp1.counsel_ifa" "4.79527296681413"
"44" "6" "form.bp1.counsel_ifa" "0"
"45" "7" "form.bp1.counsel_ifa" "0"
"46" "8" "form.bp1.counsel_ifa" "0"
"47" "9" "form.bp1.counsel_ifa" "6.78521714236622"
"48" "10" "form.bp1.counsel_ifa" "2.45024327925094"
"49" "11" "form.bp1.counsel_ifa" "4.90831504735553"
"50" "12" "form.bp1.counsel_ifa" "0"
"51" "13" "form.bp1.counsel_ifa" "2.80442530193746"
"52" "14" "form.bp1.counsel_ifa" "4.90949033191837"
"53" "15" "form.bp1.counsel_ifa" "7.83383031168162"
"54" "16" "form.bp1.counsel_ifa" "2.22001670419396"
"55" "17" "form.bp1.counsel_ifa" "2.8232956150085"
"56" "18" "form.bp1.counsel_ifa" "4.86809512100494"
"57" "19" "form.bp1.counsel_ifa" "0"
"58" "20" "form.bp1.counsel_ifa" "17.1121870288189"
"59" "21" "form.bp1.counsel_ifa" "2.48143025006576"
"60" "22" "form.bp1.counsel_ifa" "4.39399930165127"
"61" "23" "form.bp1.counsel_ifa" "7.08566704887799"
"62" "24" "form.bp1.counsel_ifa" "2.50642410526272"
"63" "25" "form.bp1.counsel_ifa" "0"
"64" "26" "form.bp1.counsel_ifa" "2.83050597139573"
"65" "27" "form.bp1.counsel_ifa" "0"
"66" "28" "form.bp1.counsel_ifa" "2.46037089770514"
"67" "29" "form.bp1.counsel_ifa" "14.2564895776716"
"68" "30" "form.bp1.counsel_ifa" "0"
"69" "31" "form.bp1.counsel_ifa" "2.14340672288875"
"70" "32" "form.bp1.counsel_ifa" "0"
"71" "33" "form.bp1.counsel_ifa" "0"
"72" "34" "form.bp1.counsel_ifa" "0"
"73" "35" "form.bp1.counsel_ifa" "2.8003205195951"
"74" "36" "form.bp1.counsel_ifa" "2.27489389784061"
"75" "37" "form.bp1.counsel_ifa" "2.44554584190812"
"76" "38" "form.bp1.counsel_ifa" "2.80048663939025"
"77" "1" "form.bp1.anc3.anc3_blood_pressure" "0"
"78" "2" "form.bp1.anc3.anc3_blood_pressure" "1.07553726598531"
"79" "3" "form.bp1.anc3.anc3_blood_pressure" "0"
"80" "4" "form.bp1.anc3.anc3_blood_pressure" "0"
"81" "5" "form.bp1.anc3.anc3_blood_pressure" "2.60936202823477"
"82" "6" "form.bp1.anc3.anc3_blood_pressure" "0"
"83" "7" "form.bp1.anc3.anc3_blood_pressure" "0"
"84" "8" "form.bp1.anc3.anc3_blood_pressure" "0"
"85" "9" "form.bp1.anc3.anc3_blood_pressure" "4.55258352964554"
"86" "10" "form.bp1.anc3.anc3_blood_pressure" "0"
"87" "11" "form.bp1.anc3.anc3_blood_pressure" "0"
"88" "12" "form.bp1.anc3.anc3_blood_pressure" "0"
"89" "13" "form.bp1.anc3.anc3_blood_pressure" "1.74438401905765"
"90" "14" "form.bp1.anc3.anc3_blood_pressure" "7.6434291958721"
"91" "15" "form.bp1.anc3.anc3_blood_pressure" "0"
"92" "16" "form.bp1.anc3.anc3_blood_pressure" "0"
"93" "17" "form.bp1.anc3.anc3_blood_pressure" "3.69810751873499"
"94" "18" "form.bp1.anc3.anc3_blood_pressure" "4.44789429945969"
"95" "19" "form.bp1.anc3.anc3_blood_pressure" "5.47109307486281"
"96" "20" "form.bp1.anc3.anc3_blood_pressure" "0"
"97" "21" "form.bp1.anc3.anc3_blood_pressure" "0"
"98" "22" "form.bp1.anc3.anc3_blood_pressure" "0"
"99" "23" "form.bp1.anc3.anc3_blood_pressure" "10.4702266691866"
"100" "24" "form.bp1.anc3.anc3_blood_pressure" "0"
"101" "25" "form.bp1.anc3.anc3_blood_pressure" "5.65669712405074"
"102" "26" "form.bp1.anc3.anc3_blood_pressure" "0"
"103" "27" "form.bp1.anc3.anc3_blood_pressure" "11.2867112647205"
"104" "28" "form.bp1.anc3.anc3_blood_pressure" "10.241480633641"
"105" "29" "form.bp1.anc3.anc3_blood_pressure" "0"
"106" "30" "form.bp1.anc3.anc3_blood_pressure" "2.86404414795564"
"107" "31" "form.bp1.anc3.anc3_blood_pressure" "4.56391010198666"
"108" "32" "form.bp1.anc3.anc3_blood_pressure" "2.80443188421526"
"109" "33" "form.bp1.anc3.anc3_blood_pressure" "7.19766223571397"
"110" "34" "form.bp1.anc3.anc3_blood_pressure" "2.73274486706903"
"111" "35" "form.bp1.anc3.anc3_blood_pressure" "9.36112076736345"
"112" "36" "form.bp1.anc3.anc3_blood_pressure" "0"
"113" "37" "form.bp1.anc3.anc3_blood_pressure" "0"
"114" "38" "form.bp1.anc3.anc3_blood_pressure" "0"
"115" "1" "form.bp2.not_yet_institutional" "0"
"116" "2" "form.bp2.not_yet_institutional" "0"
"117" "3" "form.bp2.not_yet_institutional" "0"
"118" "4" "form.bp2.not_yet_institutional" "0"
"119" "5" "form.bp2.not_yet_institutional" "0"
"120" "6" "form.bp2.not_yet_institutional" "0"
"121" "7" "form.bp2.not_yet_institutional" "0"
"122" "8" "form.bp2.not_yet_institutional" "0"
"123" "9" "form.bp2.not_yet_institutional" "0"
"124" "10" "form.bp2.not_yet_institutional" "0"
"125" "11" "form.bp2.not_yet_institutional" "0"
"126" "12" "form.bp2.not_yet_institutional" "0"
"127" "13" "form.bp2.not_yet_institutional" "0"
"128" "14" "form.bp2.not_yet_institutional" "0"
"129" "15" "form.bp2.not_yet_institutional" "0"
"130" "16" "form.bp2.not_yet_institutional" "0"
"131" "17" "form.bp2.not_yet_institutional" "0"
"132" "18" "form.bp2.not_yet_institutional" "0"
"133" "19" "form.bp2.not_yet_institutional" "0"
"134" "20" "form.bp2.not_yet_institutional" "0"
"135" "21" "form.bp2.not_yet_institutional" "0"
"136" "22" "form.bp2.not_yet_institutional" "0"
"137" "23" "form.bp2.not_yet_institutional" "0"
"138" "24" "form.bp2.not_yet_institutional" "0"
"139" "25" "form.bp2.not_yet_institutional" "0"
"140" "26" "form.bp2.not_yet_institutional" "0"
"141" "27" "form.bp2.not_yet_institutional" "0"
"142" "28" "form.bp2.not_yet_institutional" "0"
"143" "29" "form.bp2.not_yet_institutional" "0"
"144" "30" "form.bp2.not_yet_institutional" "0"
"145" "31" "form.bp2.not_yet_institutional" "0"
"146" "32" "form.bp2.not_yet_institutional" "0"
"147" "33" "form.bp2.not_yet_institutional" "0"
"148" "34" "form.bp2.not_yet_institutional" "0"
"149" "35" "form.bp2.not_yet_institutional" "0"
"150" "36" "form.bp2.not_yet_institutional" "0"
"151" "37" "form.bp2.not_yet_institutional" "0"
"152" "38" "form.bp2.not_yet_institutional" "0"
"153" "1" "form.family_planning_group.counsel_options" "0"
"154" "2" "form.family_planning_group.counsel_options" "6.05606170315741"
"155" "3" "form.family_planning_group.counsel_options" "0"
"156" "4" "form.family_planning_group.counsel_options" "38.5975087979198"
"157" "5" "form.family_planning_group.counsel_options" "40.1491751625348"
"158" "6" "form.family_planning_group.counsel_options" "29.4618597398264"
"159" "7" "form.family_planning_group.counsel_options" "37.3590527072829"
"160" "8" "form.family_planning_group.counsel_options" "45.8746739870351"
"161" "9" "form.family_planning_group.counsel_options" "38.1722636127312"
"162" "10" "form.family_planning_group.counsel_options" "29.0800103715842"
"163" "11" "form.family_planning_group.counsel_options" "0"
"164" "12" "form.family_planning_group.counsel_options" "39.0100914538046"
"165" "13" "form.family_planning_group.counsel_options" "48.6557601850258"
"166" "14" "form.family_planning_group.counsel_options" "63.4907994268788"
"167" "15" "form.family_planning_group.counsel_options" "51.8015505223005"
"168" "16" "form.family_planning_group.counsel_options" "36.5162389693447"
"169" "17" "form.family_planning_group.counsel_options" "31.6316153017552"
"170" "18" "form.family_planning_group.counsel_options" "43.804616133551"
"171" "19" "form.family_planning_group.counsel_options" "29.6225989628597"
"172" "20" "form.family_planning_group.counsel_options" "35.2803174928012"
"173" "21" "form.family_planning_group.counsel_options" "30.9144067609625"
"174" "22" "form.family_planning_group.counsel_options" "21.0823645667577"
"175" "23" "form.family_planning_group.counsel_options" "26.3864291484199"
"176" "24" "form.family_planning_group.counsel_options" "21.6808705278571"
"177" "25" "form.family_planning_group.counsel_options" "30.1249004033168"
"178" "26" "form.family_planning_group.counsel_options" "32.1987861605238"
"179" "27" "form.family_planning_group.counsel_options" "39.940776600614"
"180" "28" "form.family_planning_group.counsel_options" "35.6614240686665"
"181" "29" "form.family_planning_group.counsel_options" "36.6944290909534"
"182" "30" "form.family_planning_group.counsel_options" "32.4418159419836"
"183" "31" "form.family_planning_group.counsel_options" "41.022471844214"
"184" "32" "form.family_planning_group.counsel_options" "46.7503274070007"
"185" "33" "form.family_planning_group.counsel_options" "40.2340767176379"
"186" "34" "form.family_planning_group.counsel_options" "60.8543920708322"
"187" "35" "form.family_planning_group.counsel_options" "43.5199663181264"
"188" "36" "form.family_planning_group.counsel_options" "56.7393506153884"
"189" "37" "form.family_planning_group.counsel_options" "54.9799420416782"
"190" "38" "form.family_planning_group.counsel_options" "25.7850475377016"
"191" "1" "form.family_planning_group.counsel_stay" "10.6209167537936"
"192" "2" "form.family_planning_group.counsel_stay" "0"
"193" "3" "form.family_planning_group.counsel_stay" "17.4756651450318"
"194" "4" "form.family_planning_group.counsel_stay" "44.130118085809"
"195" "5" "form.family_planning_group.counsel_stay" "42.2876737425253"
"196" "6" "form.family_planning_group.counsel_stay" "28.7048996156141"
"197" "7" "form.family_planning_group.counsel_stay" "37.0734298034242"
"198" "8" "form.family_planning_group.counsel_stay" "46.1733570580843"
"199" "9" "form.family_planning_group.counsel_stay" "38.8976829968941"
"200" "10" "form.family_planning_group.counsel_stay" "29.8366605782754"
"201" "11" "form.family_planning_group.counsel_stay" "37.8628109717355"
"202" "12" "form.family_planning_group.counsel_stay" "39.0100914538046"
"203" "13" "form.family_planning_group.counsel_stay" "51.8343082945453"
"204" "14" "form.family_planning_group.counsel_stay" "64.3479414433102"
"205" "15" "form.family_planning_group.counsel_stay" "53.6166074362015"
"206" "16" "form.family_planning_group.counsel_stay" "36.1501069871378"
"207" "17" "form.family_planning_group.counsel_stay" "32.9332077333382"
"208" "18" "form.family_planning_group.counsel_stay" "42.5660112082484"
"209" "19" "form.family_planning_group.counsel_stay" "26.1201139116408"
"210" "20" "form.family_planning_group.counsel_stay" "34.6602592003862"
"211" "21" "form.family_planning_group.counsel_stay" "31.5003307460247"
"212" "22" "form.family_planning_group.counsel_stay" "22.0094263118974"
"213" "23" "form.family_planning_group.counsel_stay" "25.7990548491647"
"214" "24" "form.family_planning_group.counsel_stay" "19.181760840624"
"215" "25" "form.family_planning_group.counsel_stay" "31.2385012235245"
"216" "26" "form.family_planning_group.counsel_stay" "33.6202501204043"
"217" "27" "form.family_planning_group.counsel_stay" "39.273269545494"
"218" "28" "form.family_planning_group.counsel_stay" "35.7307432559299"
"219" "29" "form.family_planning_group.counsel_stay" "36.849344886039"
"220" "30" "form.family_planning_group.counsel_stay" "0"
"221" "31" "form.family_planning_group.counsel_stay" "40.8269763508766"
"222" "32" "form.family_planning_group.counsel_stay" "46.2414088371721"
"223" "33" "form.family_planning_group.counsel_stay" "37.8350819064927"
"224" "34" "form.family_planning_group.counsel_stay" "54.288398206006"
"225" "35" "form.family_planning_group.counsel_stay" "45.0243216853371"
"226" "36" "form.family_planning_group.counsel_stay" "57.633156934763"
"227" "37" "form.family_planning_group.counsel_stay" "50.7271439500492"
"228" "38" "form.family_planning_group.counsel_stay" "0"
"229" "1" "form.bp2.clean_cloth" "0"
"230" "2" "form.bp2.clean_cloth" "0"
"231" "3" "form.bp2.clean_cloth" "0"
"232" "4" "form.bp2.clean_cloth" "0"
"233" "5" "form.bp2.clean_cloth" "0"
"234" "6" "form.bp2.clean_cloth" "0"
"235" "7" "form.bp2.clean_cloth" "0"
"236" "8" "form.bp2.clean_cloth" "0"
"237" "9" "form.bp2.clean_cloth" "0"
"238" "10" "form.bp2.clean_cloth" "0"
"239" "11" "form.bp2.clean_cloth" "0"
"240" "12" "form.bp2.clean_cloth" "0"
"241" "13" "form.bp2.clean_cloth" "0"
"242" "14" "form.bp2.clean_cloth" "0"
"243" "15" "form.bp2.clean_cloth" "0"
"244" "16" "form.bp2.clean_cloth" "0"
"245" "17" "form.bp2.clean_cloth" "0"
"246" "18" "form.bp2.clean_cloth" "0"
"247" "19" "form.bp2.clean_cloth" "0"
"248" "20" "form.bp2.clean_cloth" "0"
"249" "21" "form.bp2.clean_cloth" "0.909881377420247"
"250" "22" "form.bp2.clean_cloth" "3.513431222059"
"251" "23" "form.bp2.clean_cloth" "2.2540762919397"
"252" "24" "form.bp2.clean_cloth" "0"
"253" "25" "form.bp2.clean_cloth" "2.72871204936146"
"254" "26" "form.bp2.clean_cloth" "0"
"255" "27" "form.bp2.clean_cloth" "2.05138662160834"
"256" "28" "form.bp2.clean_cloth" "0.748095781526243"
"257" "29" "form.bp2.clean_cloth" "0"
"258" "30" "form.bp2.clean_cloth" "1.16786391808112"
"259" "31" "form.bp2.clean_cloth" "0"
"260" "32" "form.bp2.clean_cloth" "4.10880838922369"
"261" "33" "form.bp2.clean_cloth" "3.91543616628885"
"262" "34" "form.bp2.clean_cloth" "8.99927636391604"
"263" "35" "form.bp2.clean_cloth" "2.51813925601622"
"264" "36" "form.bp2.clean_cloth" "2.49626776011235"
"265" "37" "form.bp2.clean_cloth" "4.09825059552829"
"266" "38" "form.bp2.clean_cloth" "0"
"267" "1" "form.bp2.not_yet_phone_number" "0"
"268" "2" "form.bp2.not_yet_phone_number" "0"
"269" "3" "form.bp2.not_yet_phone_number" "0"
"270" "4" "form.bp2.not_yet_phone_number" "0"
"271" "5" "form.bp2.not_yet_phone_number" "0"
"272" "6" "form.bp2.not_yet_phone_number" "0"
"273" "7" "form.bp2.not_yet_phone_number" "0"
"274" "8" "form.bp2.not_yet_phone_number" "0"
"275" "9" "form.bp2.not_yet_phone_number" "0"
"276" "10" "form.bp2.not_yet_phone_number" "0"
"277" "11" "form.bp2.not_yet_phone_number" "0"
"278" "12" "form.bp2.not_yet_phone_number" "0"
"279" "13" "form.bp2.not_yet_phone_number" "0"
"280" "14" "form.bp2.not_yet_phone_number" "0"
"281" "15" "form.bp2.not_yet_phone_number" "0"
"282" "16" "form.bp2.not_yet_phone_number" "0"
"283" "17" "form.bp2.not_yet_phone_number" "0"
"284" "18" "form.bp2.not_yet_phone_number" "0"
"285" "19" "form.bp2.not_yet_phone_number" "0"
"286" "20" "form.bp2.not_yet_phone_number" "0"
"287" "21" "form.bp2.not_yet_phone_number" "0"
"288" "22" "form.bp2.not_yet_phone_number" "0"
"289" "23" "form.bp2.not_yet_phone_number" "0"
"290" "24" "form.bp2.not_yet_phone_number" "0"
"291" "25" "form.bp2.not_yet_phone_number" "0"
"292" "26" "form.bp2.not_yet_phone_number" "0"
"293" "27" "form.bp2.not_yet_phone_number" "0"
"294" "28" "form.bp2.not_yet_phone_number" "0"
"295" "29" "form.bp2.not_yet_phone_number" "0"
"296" "30" "form.bp2.not_yet_phone_number" "0"
"297" "31" "form.bp2.not_yet_phone_number" "0"
"298" "32" "form.bp2.not_yet_phone_number" "0"
"299" "33" "form.bp2.not_yet_phone_number" "0"
"300" "34" "form.bp2.not_yet_phone_number" "0"
"301" "35" "form.bp2.not_yet_phone_number" "0"
"302" "36" "form.bp2.not_yet_phone_number" "0"
"303" "37" "form.bp2.not_yet_phone_number" "0"
"304" "38" "form.bp2.not_yet_phone_number" "0"
"305" "1" "form.bp1.anc2.anc2_blood_pressure" "0"
"306" "2" "form.bp1.anc2.anc2_blood_pressure" "8.7431211572911"
"307" "3" "form.bp1.anc2.anc2_blood_pressure" "9.0470064481943"
"308" "4" "form.bp1.anc2.anc2_blood_pressure" "0"
"309" "5" "form.bp1.anc2.anc2_blood_pressure" "15.8223426077826"
"310" "6" "form.bp1.anc2.anc2_blood_pressure" "25.4444496225875"
"311" "7" "form.bp1.anc2.anc2_blood_pressure" "7.39037805867036"
"312" "8" "form.bp1.anc2.anc2_blood_pressure" "9.41029999350238"
"313" "9" "form.bp1.anc2.anc2_blood_pressure" "6.25786266578588"
"314" "10" "form.bp1.anc2.anc2_blood_pressure" "6.07677699238767"
"315" "11" "form.bp1.anc2.anc2_blood_pressure" "9.24758058868956"
"316" "12" "form.bp1.anc2.anc2_blood_pressure" "2.75659387204891"
"317" "13" "form.bp1.anc2.anc2_blood_pressure" "10.0007651663549"
"318" "14" "form.bp1.anc2.anc2_blood_pressure" "4.83759194100857"
"319" "15" "form.bp1.anc2.anc2_blood_pressure" "7.74926668926543"
"320" "16" "form.bp1.anc2.anc2_blood_pressure" "7.8577917742733"
"321" "17" "form.bp1.anc2.anc2_blood_pressure" "13.7032215588859"
"322" "18" "form.bp1.anc2.anc2_blood_pressure" "5.39311226048871"
"323" "19" "form.bp1.anc2.anc2_blood_pressure" "13.4288365516568"
"324" "20" "form.bp1.anc2.anc2_blood_pressure" "12.0073207318267"
"325" "21" "form.bp1.anc2.anc2_blood_pressure" "0"
"326" "22" "form.bp1.anc2.anc2_blood_pressure" "0"
"327" "23" "form.bp1.anc2.anc2_blood_pressure" "0"
"328" "24" "form.bp1.anc2.anc2_blood_pressure" "4.74704149149345"
"329" "25" "form.bp1.anc2.anc2_blood_pressure" "12.5076350340877"
"330" "26" "form.bp1.anc2.anc2_blood_pressure" "10.8181074791227"
"331" "27" "form.bp1.anc2.anc2_blood_pressure" "16.6185336061431"
"332" "28" "form.bp1.anc2.anc2_blood_pressure" "12.2968647942054"
"333" "29" "form.bp1.anc2.anc2_blood_pressure" "11.404706257683"
"334" "30" "form.bp1.anc2.anc2_blood_pressure" "7.23671825770071"
"335" "31" "form.bp1.anc2.anc2_blood_pressure" "7.90117690547925"
"336" "32" "form.bp1.anc2.anc2_blood_pressure" "2.66896692582898"
"337" "33" "form.bp1.anc2.anc2_blood_pressure" "5.91714669564682"
"338" "34" "form.bp1.anc2.anc2_blood_pressure" "15.7083223860806"
"339" "35" "form.bp1.anc2.anc2_blood_pressure" "5.62507384729235"
"340" "36" "form.bp1.anc2.anc2_blood_pressure" "14.655364210696"
"341" "37" "form.bp1.anc2.anc2_blood_pressure" "7.82018290537817"
"342" "38" "form.bp1.anc2.anc2_blood_pressure" "0"
"343" "1" "form.family_planning_group.help_decide" "0"
"344" "2" "form.family_planning_group.help_decide" "0"
"345" "3" "form.family_planning_group.help_decide" "0"
"346" "4" "form.family_planning_group.help_decide" "0"
"347" "5" "form.family_planning_group.help_decide" "0"
"348" "6" "form.family_planning_group.help_decide" "0"
"349" "7" "form.family_planning_group.help_decide" "0"
"350" "8" "form.family_planning_group.help_decide" "0"
"351" "9" "form.family_planning_group.help_decide" "0"
"352" "10" "form.family_planning_group.help_decide" "0"
"353" "11" "form.family_planning_group.help_decide" "0"
"354" "12" "form.family_planning_group.help_decide" "0"
"355" "13" "form.family_planning_group.help_decide" "0"
"356" "14" "form.family_planning_group.help_decide" "0"
"357" "15" "form.family_planning_group.help_decide" "0"
"358" "16" "form.family_planning_group.help_decide" "0"
"359" "17" "form.family_planning_group.help_decide" "0"
"360" "18" "form.family_planning_group.help_decide" "0"
"361" "19" "form.family_planning_group.help_decide" "0"
"362" "20" "form.family_planning_group.help_decide" "0"
"363" "21" "form.family_planning_group.help_decide" "0"
"364" "22" "form.family_planning_group.help_decide" "0"
"365" "23" "form.family_planning_group.help_decide" "0"
"366" "24" "form.family_planning_group.help_decide" "0"
"367" "25" "form.family_planning_group.help_decide" "0"
"368" "26" "form.family_planning_group.help_decide" "0"
"369" "27" "form.family_planning_group.help_decide" "0"
"370" "28" "form.family_planning_group.help_decide" "0"
"371" "29" "form.family_planning_group.help_decide" "0"
"372" "30" "form.family_planning_group.help_decide" "0"
"373" "31" "form.family_planning_group.help_decide" "0"
"374" "32" "form.family_planning_group.help_decide" "0"
"375" "33" "form.family_planning_group.help_decide" "0"
"376" "34" "form.family_planning_group.help_decide" "0"
"377" "35" "form.family_planning_group.help_decide" "0"
"378" "36" "form.family_planning_group.help_decide" "0"
"379" "37" "form.family_planning_group.help_decide" "0"
"380" "38" "form.family_planning_group.help_decide" "0"
"381" "1" "form.play_family_planning_vid" "32.9428960420075"
"382" "2" "form.play_family_planning_vid" "25.2436405218082"
"383" "3" "form.play_family_planning_vid" "18.3123554185448"
"384" "4" "form.play_family_planning_vid" "72.929009563639"
"385" "5" "form.play_family_planning_vid" "94.6305424968159"
"386" "6" "form.play_family_planning_vid" "80.3515149201493"
"387" "7" "form.play_family_planning_vid" "46.1312481488708"
"388" "8" "form.play_family_planning_vid" "73.0647403363131"
"389" "9" "form.play_family_planning_vid" "70.9583758555516"
"390" "10" "form.play_family_planning_vid" "52.5323054437109"
"391" "11" "form.play_family_planning_vid" "78.4081595409114"
"392" "12" "form.play_family_planning_vid" "50.1531805961092"
"393" "13" "form.play_family_planning_vid" "70.590199230793"
"394" "14" "form.play_family_planning_vid" "106.620831939948"
"395" "15" "form.play_family_planning_vid" "115.152108236159"
"396" "16" "form.play_family_planning_vid" "56.4887283593554"
"397" "17" "form.play_family_planning_vid" "56.3191316803293"
"398" "18" "form.play_family_planning_vid" "57.941479367989"
"399" "19" "form.play_family_planning_vid" "61.3108159051529"
"400" "20" "form.play_family_planning_vid" "55.1517577716538"
"401" "21" "form.play_family_planning_vid" "45.1689429374183"
"402" "22" "form.play_family_planning_vid" "42.0789743892115"
"403" "23" "form.play_family_planning_vid" "47.3920023666339"
"404" "24" "form.play_family_planning_vid" "43.1495631295145"
"405" "25" "form.play_family_planning_vid" "47.3795856128083"
"406" "26" "form.play_family_planning_vid" "56.529543248677"
"407" "27" "form.play_family_planning_vid" "59.6662379800656"
"408" "28" "form.play_family_planning_vid" "62.2661181933194"
"409" "29" "form.play_family_planning_vid" "58.1269690317979"
"410" "30" "form.play_family_planning_vid" "59.6396051935788"
"411" "31" "form.play_family_planning_vid" "71.1299921156761"
"412" "32" "form.play_family_planning_vid" "62.1977514263155"
"413" "33" "form.play_family_planning_vid" "56.012738668345"
"414" "34" "form.play_family_planning_vid" "81.0685073018395"
"415" "35" "form.play_family_planning_vid" "67.3108134041873"
"416" "36" "form.play_family_planning_vid" "64.5717486808458"
"417" "37" "form.play_family_planning_vid" "52.8160948599567"
"418" "38" "form.play_family_planning_vid" "22.6176090391893"
"419" "1" "form.bp1.anc1.anc1_facility" "0"
"420" "2" "form.bp1.anc1.anc1_facility" "20.4549107015169"
