"Var1" "Freq"
"3" "89fda0284e008d2e0c980fb13f94e5b7" 1
"5" "89fda0284e008d2e0c980fb13f951435" 1
"6" "89fda0284e008d2e0c980fb13f9528e1" 2
"7" "89fda0284e008d2e0c980fb13f957a1e" 6
"8" "89fda0284e008d2e0c980fb13f95b755" 4
"9" "89fda0284e008d2e0c980fb13f97722c" 1
"10" "89fda0284e008d2e0c980fb13f979609" 4
"13" "89fda0284e008d2e0c980fb13f97cef7" 5
"14" "89fda0284e008d2e0c980fb13f97e56a" 2
"15" "89fda0284e008d2e0c980fb13f99a86d" 1
"16" "89fda0284e008d2e0c980fb13f9a3e49" 2
"19" "89fda0284e008d2e0c980fb13f9b5305" 1
"20" "70c6ba6f55ed21716fe725c21469fe3b" 2
"21" "89fda0284e008d2e0c980fb13f97eeaa" 4
"23" "89fda0284e008d2e0c980fb13f98872f" 5
"24" "89fda0284e008d2e0c980fb13f99a47e" 1
"25" "89fda0284e008d2e0c980fb13f99a592" 1
"26" "89fda0284e008d2e0c980fb13f9a94f7" 3
"27" "89fda0284e008d2e0c980fb13f9b0cfa" 1
"28" "89fda0284e008d2e0c980fb13f9b1273" 2
"29" "89fda0284e008d2e0c980fb13f94fae5" 2
"30" "89fda0284e008d2e0c980fb13f960ab3" 2
"31" "89fda0284e008d2e0c980fb13f9623b3" 1
"32" "89fda0284e008d2e0c980fb13f96372c" 4
"33" "89fda0284e008d2e0c980fb13f964e6a" 3
"35" "89fda0284e008d2e0c980fb13f97850c" 4
"37" "89fda0284e008d2e0c980fb13f98311d" 1
"40" "89fda0284e008d2e0c980fb13f9917a0" 1
"41" "89fda0284e008d2e0c980fb13f994cf8" 6
"43" "89fda0284e008d2e0c980fb13f99f8e5" 1
"44" "89fda0284e008d2e0c980fb13f9b46eb" 1
"47" "89fda0284e008d2e0c980fb13f953df5" 5
"48" "89fda0284e008d2e0c980fb13f95477d" 1
"51" "89fda0284e008d2e0c980fb13f95fe45" 2
"53" "89fda0284e008d2e0c980fb13f9628e2" 7
"54" "89fda0284e008d2e0c980fb13f96442a" 1
"55" "89fda0284e008d2e0c980fb13f964b7e" 1
"56" "89fda0284e008d2e0c980fb13f966e31" 1
"57" "89fda0284e008d2e0c980fb13f966efc" 1
"58" "89fda0284e008d2e0c980fb13f96807a" 6
"59" "89fda0284e008d2e0c980fb13f968eb0" 2
"61" "89fda0284e008d2e0c980fb13f970282" 1
"62" "89fda0284e008d2e0c980fb13f970c18" 1
"65" "89fda0284e008d2e0c980fb13f978216" 1
"68" "89fda0284e008d2e0c980fb13f97dff4" 4
"72" "89fda0284e008d2e0c980fb13f9978cb" 1
"74" "89fda0284e008d2e0c980fb13f9992a6" 1
"76" "89fda0284e008d2e0c980fb13f99a3ad" 3
"79" "89fda0284e008d2e0c980fb13f9a51a9" 5
"80" "89fda0284e008d2e0c980fb13f9ad060" 4
"82" "89fda0284e008d2e0c980fb13f9b3f75" 1
"84" "fcd13ae716841026ee760704bb0d99ee" 1
"90" "89fda0284e008d2e0c980fb13f955485" 5
