                                 chw                            question       score            x2
85  89fda0284e008d2e0c980fb13f95fe45 form.bp2.not_yet_maternal_emergency         Inf 230.816100000
102 89fda0284e008d2e0c980fb13f94d6ef form.bp2.not_yet_maternal_emergency         Inf 156.964300000
29  89fda0284e008d2e0c980fb13f97cef7 form.bp2.not_yet_maternal_emergency         Inf  83.938240000
68  89fda0284e008d2e0c980fb13f9866e8 form.bp2.not_yet_maternal_emergency 33.60130635  62.570760000
48  89fda0284e008d2e0c980fb13f952278 form.bp2.not_yet_maternal_emergency 21.44314166  38.729430000
94  89fda0284e008d2e0c980fb13f97722c form.bp2.not_yet_maternal_emergency 18.64213979  33.271840000
168 89fda0284e008d2e0c980fb13f985a55 form.bp2.not_yet_maternal_emergency 18.59280690  33.175900000
41  89fda0284e008d2e0c980fb13f985425 form.bp2.not_yet_maternal_emergency 14.91028215  26.038850000
59  89fda0284e008d2e0c980fb13f97eeaa form.bp2.not_yet_maternal_emergency 13.65416783  23.617580000
63  89fda0284e008d2e0c980fb13f994cf8 form.bp2.not_yet_maternal_emergency 10.20481534  17.019810000
47  70c6ba6f55ed21716fe725c21469fe3b form.bp2.not_yet_maternal_emergency  8.65777901  14.095380000
84  89fda0284e008d2e0c980fb13f97fc0a form.bp2.not_yet_maternal_emergency  7.10779513  11.198360000
65  89fda0284e008d2e0c980fb13f992222 form.bp2.not_yet_maternal_emergency  6.99278007  10.985070000
53  89fda0284e008d2e0c980fb13f98af77 form.bp2.not_yet_maternal_emergency  6.90484860  10.822180000
128 89fda0284e008d2e0c980fb13f970c18 form.bp2.not_yet_maternal_emergency  6.33614297   9.772805000
73  89fda0284e008d2e0c980fb13f98b956 form.bp2.not_yet_maternal_emergency  5.95321396   9.070628000
3   89fda0284e008d2e0c980fb13f9917a0 form.bp2.not_yet_maternal_emergency  5.44316121   8.141735000
199 70c6ba6f55ed21716fe725c214691571 form.bp2.not_yet_maternal_emergency  5.42408078   8.107143000
130 89fda0284e008d2e0c980fb13f9ae796 form.bp2.not_yet_maternal_emergency  5.31683192   7.912927000
10  89fda0284e008d2e0c980fb13f982710 form.bp2.not_yet_maternal_emergency  3.59084691   4.854446000
132 89fda0284e008d2e0c980fb13f992e2c form.bp2.not_yet_maternal_emergency  3.42323618   4.566309000
22  89fda0284e008d2e0c980fb13f96807a form.bp2.not_yet_maternal_emergency  3.22970186   4.236258000
70  89fda0284e008d2e0c980fb13f9628e2 form.bp2.not_yet_maternal_emergency  3.05699692   3.944361000
32  89fda0284e008d2e0c980fb13f957a1e form.bp2.not_yet_maternal_emergency  3.00153117   3.851184000
13  89fda0284e008d2e0c980fb13f9ad060 form.bp2.not_yet_maternal_emergency  2.68450802   3.324500000
157 89fda0284e008d2e0c980fb13f9b5305 form.bp2.not_yet_maternal_emergency  2.38784595   2.842045000
196 89fda0284e008d2e0c980fb13f97031c form.bp2.not_yet_maternal_emergency  2.38784595   2.842045000
79  89fda0284e008d2e0c980fb13f98ed57 form.bp2.not_yet_maternal_emergency  2.36168379   2.800050000
26  89fda0284e008d2e0c980fb13f96372c form.bp2.not_yet_maternal_emergency  2.32322751   2.738496000
80  89fda0284e008d2e0c980fb13f979609 form.bp2.not_yet_maternal_emergency  2.30547465   2.710152000
98  89fda0284e008d2e0c980fb13f9b46eb form.bp2.not_yet_maternal_emergency  2.08988343   2.369817000
148 89fda0284e008d2e0c980fb13f98872f form.bp2.not_yet_maternal_emergency  1.97126533   2.185890000
83  89fda0284e008d2e0c980fb13f964e6a form.bp2.not_yet_maternal_emergency  1.89133186   2.063425000
142 89fda0284e008d2e0c980fb13f9b1c77 form.bp2.not_yet_maternal_emergency  1.87123149   2.032828000
57  89fda0284e008d2e0c980fb13f9a4d8a form.bp2.not_yet_maternal_emergency  1.85108184   2.002238000
95  89fda0284e008d2e0c980fb13f992875 form.bp2.not_yet_maternal_emergency  1.79032382   1.910515000
78  89fda0284e008d2e0c980fb13f95b755 form.bp2.not_yet_maternal_emergency  1.76996335   1.879955000
112 fcd13ae716841026ee760704bb0d99ee form.bp2.not_yet_maternal_emergency  1.76996335   1.879955000
69  89fda0284e008d2e0c980fb13f9a88cd form.bp2.not_yet_maternal_emergency  1.75205416   1.853151000
31  89fda0284e008d2e0c980fb13f9b3f75 form.bp2.not_yet_maternal_emergency  1.74954644   1.849404000
106 89fda0284e008d2e0c980fb13f983d38 form.bp2.not_yet_maternal_emergency  1.74954644   1.849404000
147 89fda0284e008d2e0c980fb13f9b0cfa form.bp2.not_yet_maternal_emergency  1.74954644   1.849404000
33  89fda0284e008d2e0c980fb13f98d506 form.bp2.not_yet_maternal_emergency  1.72907150   1.818859000
37  89fda0284e008d2e0c980fb13f99a3ad form.bp2.not_yet_maternal_emergency  1.72907150   1.818859000
45  89fda0284e008d2e0c980fb13f969126 form.bp2.not_yet_maternal_emergency  1.72907150   1.818859000
97  89fda0284e008d2e0c980fb13f96554b form.bp2.not_yet_maternal_emergency  1.72907150   1.818859000
14  89fda0284e008d2e0c980fb13f99f8e5 form.bp2.not_yet_maternal_emergency  1.70853683   1.788323000
46  89fda0284e008d2e0c980fb13f964b7e form.bp2.not_yet_maternal_emergency  1.70853683   1.788323000
100 89fda0284e008d2e0c980fb13f98736b form.bp2.not_yet_maternal_emergency  1.68794067   1.757794000
19  89fda0284e008d2e0c980fb13f953df5 form.bp2.not_yet_maternal_emergency  1.67473640   1.738275000
111 89fda0284e008d2e0c980fb13f96442a form.bp2.not_yet_maternal_emergency  1.66728119   1.727273000
82  89fda0284e008d2e0c980fb13f97850c form.bp2.not_yet_maternal_emergency  1.65566423   1.710156000
