                                 chw                                question       score           x2
57  89fda0284e008d2e0c980fb13f9a4d8a form.family_planning_group.counsel_stay         Inf 414.45270000
41  89fda0284e008d2e0c980fb13f985425 form.family_planning_group.counsel_stay         Inf 309.00090000
31  89fda0284e008d2e0c980fb13f9b3f75 form.family_planning_group.counsel_stay         Inf 155.73690000
179 89fda0284e008d2e0c980fb13f9b3322 form.family_planning_group.counsel_stay         Inf  99.35187000
1   89fda0284e008d2e0c980fb13f95d481 form.family_planning_group.counsel_stay         Inf  89.69400000
108 89fda0284e008d2e0c980fb13f966efc form.family_planning_group.counsel_stay         Inf  77.40750000
121 89fda0284e008d2e0c980fb13f99e74b form.family_planning_group.counsel_stay 34.33890530  68.71090000
102 89fda0284e008d2e0c980fb13f94d6ef form.family_planning_group.counsel_stay 30.77322123  61.54705000
4   89fda0284e008d2e0c980fb13f9b323a form.family_planning_group.counsel_stay 22.02709153  44.05418000
45  89fda0284e008d2e0c980fb13f969126 form.family_planning_group.counsel_stay 21.69434109  43.38868000
26  89fda0284e008d2e0c980fb13f96372c form.family_planning_group.counsel_stay 17.99727617  35.99455000
123 89fda0284e008d2e0c980fb13f9a2e6b form.family_planning_group.counsel_stay 15.94655866  31.89312000
80  89fda0284e008d2e0c980fb13f979609 form.family_planning_group.counsel_stay 15.65038749  31.30077000
40  89fda0284e008d2e0c980fb13f97dff4 form.family_planning_group.counsel_stay 15.53178388  31.06357000
128 89fda0284e008d2e0c980fb13f970c18 form.family_planning_group.counsel_stay 14.68477213  29.36954000
95  89fda0284e008d2e0c980fb13f992875 form.family_planning_group.counsel_stay 14.60946916  29.21894000
148 89fda0284e008d2e0c980fb13f98872f form.family_planning_group.counsel_stay 14.15058668  28.30117000
130 89fda0284e008d2e0c980fb13f9ae796 form.family_planning_group.counsel_stay 14.10754403  28.21509000
137 89fda0284e008d2e0c980fb13f9a7b0c form.family_planning_group.counsel_stay 14.09463576  28.18927000
203 fcd13ae716841026ee760704bb0d89a7 form.family_planning_group.counsel_stay 12.99402930  25.98806000
112 fcd13ae716841026ee760704bb0d99ee form.family_planning_group.counsel_stay 12.94676356  25.89353000
14  89fda0284e008d2e0c980fb13f99f8e5 form.family_planning_group.counsel_stay 12.92280247  25.84560000
79  89fda0284e008d2e0c980fb13f98ed57 form.family_planning_group.counsel_stay 12.86395413  25.72791000
127 fcd13ae716841026ee760704bb0d89b2 form.family_planning_group.counsel_stay 12.50251136  25.00502000
42  89fda0284e008d2e0c980fb13f955485 form.family_planning_group.counsel_stay 12.48382112  24.96764000
