"question" "cumulative" "total"
"1" "form.bp2.not_yet_maternal_emergency" 0 0
"2" "form.bp1.counsel_ifa" 112.303872992393 122.529468423112
"3" "form.bp1.anc3.anc3_blood_pressure" 98.4214206277556 9.65680453855118
"4" "form.bp2.not_yet_institutional" 0 0
"5" "form.family_planning_group.counsel_options" 1321.57597235303 315.279276126121
"6" "form.family_planning_group.counsel_stay" 1322.0810320696 310.578123453373
"7" "form.bp2.clean_cloth" 39.5096257930816 17.5643303760746
"8" "form.bp2.not_yet_phone_number" 0 0
"9" "form.bp1.anc2.anc2_blood_pressure" 311.100159477539 33.1303834062682
"10" "form.family_planning_group.help_decide" 0 0
"11" "form.play_family_planning_vid" 2274.35581895519 738.350055336515
"12" "form.bp1.anc1.anc1_facility" 805.257529587698 166.161100032477
"13" "form.bp2.counsel_institutional" 0 0
"14" "form.bp2.SBA" 36.1710407348485 12.2700790706463
"15" "form.bp2.SBA_phone" 10.6058875313538 6.7404007248564
"16" "form.anc_latest_num" 2348.23871177853 2720.14159556591
"17" "form.bp1.anc3.anc3_abdominal_exam" 55.9808250074929 35.1004657399432
"18" "form.bp1.anc4.anc4_abdominal_exam" 8.84867592289986 12.03284586519
"19" "form.bp2.not_yet_sba" 0 0
"20" "form.bp1.anc1.anc1_blood_pressure" 632.80518337389 102.927885203375
"21" "form.delivery_type" 2941.89413019036 672.265100330321
"22" "form.bp1.anc1.anc1_abnormalities" 694.75528555369 149.803725339399
"23" "form.bp1.anc4.anc4_abnormalities" 11.7368774548 11.9446926011207
"24" "form.bp2.care_of_home" 2532.9677761972 942.271489916602
"25" "form.bp1.received_tt2" 607.433429660894 89.54963755114
"26" "form.bp1.received_tt1" 902.911210007248 144.196869826478
"27" "form.family_planning_group.counsel_disqualification" 1305.53659532297 319.746869042446
"28" "form.bp2.not_yet_maternal_emergency_number" 0 0
"29" "form.bp2.play_birth_preparedness_vid" 2976.92009365375 1219.62876720203
"30" "form.bp1.anc4_details" 157.873171003315 36.7193983830798
"31" "form.family_planning_group.counsel_nearest" 68.6658120122831 30.194840823221
"32" "form.bp1.anc1_details" 2320.3583872273 801.045145827937
"33" "form.bp1.anc2.anc2_facility" 299.234905255214 83.9999174657638
"34" "form.bp1.eating_extra" 574.753862331077 760.396203026869
"35" "form.bp2.danger_number" 2794.36074718395 976.294613999465
"36" "form.bp1.tt_booster" 564.499875156964 115.092696439893
"37" "form.bp1.anc2.anc2_abdominal_exam" 281.914740251199 78.5596822149523
"38" "form.bp2.phone_vehicle" 2406.96872670645 794.400167784398
"39" "form.bp2.not_yet_clean" 0 0
"40" "form.conceive" 1889.6543197551 441.736021821488
"41" "form.bp2.saving_money" 1040.03075709804 396.495763934936
"42" "form.bp2.materials" 32.1483424295778 17.3003184279976
"43" "form.bp1.anc1.anc1_abdominal_exam" 810.860140669681 161.542094676221
"44" "form.bp2.birth_preparedness_vid" 0 0
"45" "form.bp1.using_ifa" 583.456408954121 566.2057799306
"46" "form.bp2.counsel_preparation" 1063.7788312718 390.898858558432
"47" "form.bp2.now_institutional" 1607.8888812643 435.196132094787
"48" "form.bp2.not_yet_SBA_phone" 0 0
"49" "form.bp2.danger_institution" 2033.33306309873 459.181050854129
"50" "form.bp1.anc4.anc4_blood_pressure" 8.68313443769027 1.91946696684695
"51" "form.bp2.vehicle" 2141.65379693472 556.372919865333
"52" "form.bp2.skin_to_skin" 914.095297733553 402.522460022501
"53" "form.nextvisit" 0 0
"54" "form.bp_visit_num" 2760.64975806106 833.108889825936
"55" "form.bp1.counsel_tt" 1970.17802720164 537.40203229076
"56" "form.referral_prompt" 0 0
"57" "form.family_planning_group.risk_of_preg" 273.176418870668 71.3756521214415
"58" "form.family_planning_group.institution_immediate" 1330.50988400922 306.943013137676
"59" "form.bp2.cord_care_vid" 0 0
"60" "form.bp1.anc4.anc4_facility" 8.24653531087673 12.6436159516896
"61" "form.bp2.cord_care" 1338.07540775558 393.903989621572
"62" "form.success" 0 0
"63" "form.bp1.anc3_details" 474.291900516183 76.5920705153882
"64" "form.bp2.wrapping" 1015.02105634464 392.0162162855
"65" "form.family_planning_vid" 0 0
"66" "form.family_planning_group.stop_children" 170.839797926942 34.1359254939847
"67" "form.postponing" 1556.23622313928 541.221467173411
"68" "form.family_planning_group.counsel_methods" 278.373305534545 67.0483752207627
"69" "form.bp1.anc2_details" 784.74727653178 132.417768164502
"70" "form.family_planning_group.counsel_accessible" 1567.37895827629 372.395379929745
"71" "form.bp2.accompany" 1240.8240325401 389.367814460174
"72" "form.bp2.play_cord_care_vid" 3073.54490915154 1257.84612413499
"73" "form.family_planning_group.postpone_conception" 294.39188422632 63.7819365207397
"74" "form.bp2.not_yet_materials" 0 0
"75" "form.bp2.has_danger_signs" 2022.42192162881 438.289633571003
"76" "form.family_planning_group.counsel_benefits" 1132.9512958431 329.101069999478
"77" "form.bp1.resting" 133.847834920437 203.097866322064
"78" "form.nextvisittype" 3394.38025560679 634.974746445782
"79" "form.bp1.anc3.anc3_abnormalities" 77.9329427423476 36.4793057380951
