"question" "cumulative" "total"
"1" "form.bp2.not_yet_maternal_emergency" 0 0
"2" "form.bp1.counsel_ifa" 112.303872992393 122.56456973735
"3" "form.bp1.anc3.anc3_blood_pressure" 98.4214206277556 9.66008512809612
"4" "form.bp2.not_yet_institutional" 0 0
"5" "form.family_planning_group.counsel_options" 1321.57597235303 316.205357250984
"6" "form.family_planning_group.counsel_stay" 1322.0810320696 311.4172003764
"7" "form.bp2.clean_cloth" 39.5096257930816 17.5770014844146
"8" "form.bp2.not_yet_phone_number" 0 0
"9" "form.bp1.anc2.anc2_blood_pressure" 311.100159477539 33.150834107531
"10" "form.family_planning_group.help_decide" 0 0
"11" "form.play_family_planning_vid" 2274.35581895519 740.081847342184
"12" "form.bp1.anc1.anc1_facility" 805.257529587698 166.766787140315
"13" "form.bp2.counsel_institutional" 0 0
"14" "form.bp2.SBA" 36.1710407348485 12.2705478013399
"15" "form.bp2.SBA_phone" 10.6058875313538 6.74412117414176
"16" "form.anc_latest_num" 2348.23871177853 2723.31606859238
"17" "form.bp1.anc3.anc3_abdominal_exam" 55.9808250074929 35.1960424295119
"18" "form.bp1.anc4.anc4_abdominal_exam" 8.84867592289986 12.056324214273
"19" "form.bp2.not_yet_sba" 0 0
"20" "form.bp1.anc1.anc1_blood_pressure" 632.80518337389 103.019425215413
"21" "form.delivery_type" 2941.89413019036 678.094969405919
"22" "form.bp1.anc1.anc1_abnormalities" 694.75528555369 150.392742323034
"23" "form.bp1.anc4.anc4_abnormalities" 11.7368774548 11.96695563524
"24" "form.bp2.care_of_home" 2532.9677761972 948.165972555731
"25" "form.bp1.received_tt2" 607.433429660894 89.6391470085852
"26" "form.bp1.received_tt1" 902.911210007248 145.578887039977
"27" "form.family_planning_group.counsel_disqualification" 1305.53659532297 320.611240576872
"28" "form.bp2.not_yet_maternal_emergency_number" 0 0
"29" "form.bp2.play_birth_preparedness_vid" 2976.92009365375 1221.18700838608
"30" "form.bp1.anc4_details" 157.873171003315 36.7800874855955
"31" "form.family_planning_group.counsel_nearest" 68.6658120122831 30.263462903088
"32" "form.bp1.anc1_details" 2320.3583872273 806.509127828824
"33" "form.bp1.anc2.anc2_facility" 299.234905255214 84.2726828168028
"34" "form.bp1.eating_extra" 574.753862331077 760.576926711316
"35" "form.bp2.danger_number" 2794.36074718395 979.402784519734
"36" "form.bp1.tt_booster" 564.499875156964 116.644759864384
"37" "form.bp1.anc2.anc2_abdominal_exam" 281.914740251199 78.8006235681005
"38" "form.bp2.phone_vehicle" 2406.96872670645 798.307159716603
"39" "form.bp2.not_yet_clean" 0 0
"40" "form.conceive" 1889.6543197551 446.079714538926
