"question" "score"
"1" "form.bp2.not_yet_maternal_emergency" "0"
"2" "form.bp1.counsel_ifa" "122.529468423112"
"3" "form.bp1.anc3.anc3_blood_pressure" "9.65680453855118"
"4" "form.bp2.not_yet_institutional" "0"
"5" "form.family_planning_group.counsel_options" "315.279276126121"
"6" "form.family_planning_group.counsel_stay" "310.578123453373"
"7" "form.bp2.clean_cloth" "17.5643303760746"
"8" "form.bp2.not_yet_phone_number" "0"
"9" "form.bp1.anc2.anc2_blood_pressure" "33.1303834062682"
"10" "form.family_planning_group.help_decide" "0"
"11" "form.play_family_planning_vid" "738.350055336515"
"12" "form.bp1.anc1.anc1_facility" "166.161100032477"
"13" "form.bp2.counsel_institutional" "0"
"14" "form.bp2.SBA" "12.2700790706463"
"15" "form.bp2.SBA_phone" "6.7404007248564"
"16" "form.anc_latest_num" "2720.14159556591"
"17" "form.bp1.anc3.anc3_abdominal_exam" "35.1004657399432"
"18" "form.bp1.anc4.anc4_abdominal_exam" "12.03284586519"
"19" "form.bp2.not_yet_sba" "0"
"20" "form.bp1.anc1.anc1_blood_pressure" "102.927885203375"
"21" "form.delivery_type" "672.265100330321"
"22" "form.bp1.anc1.anc1_abnormalities" "149.803725339399"
"23" "form.bp1.anc4.anc4_abnormalities" "11.9446926011207"
"24" "form.bp2.care_of_home" "942.271489916602"
"25" "form.bp1.received_tt2" "89.54963755114"
"26" "form.bp1.received_tt1" "144.196869826478"
"27" "form.family_planning_group.counsel_disqualification" "319.746869042446"
"28" "form.bp2.not_yet_maternal_emergency_number" "0"
"29" "form.bp2.play_birth_preparedness_vid" "1219.62876720203"
"30" "form.bp1.anc4_details" "36.7193983830798"
"31" "form.family_planning_group.counsel_nearest" "30.194840823221"
"32" "form.bp1.anc1_details" "801.045145827937"
"33" "form.bp1.anc2.anc2_facility" "83.9999174657638"
"34" "form.bp1.eating_extra" "760.396203026869"
"35" "form.bp2.danger_number" "976.294613999465"
"36" "form.bp1.tt_booster" "115.092696439893"
"37" "form.bp1.anc2.anc2_abdominal_exam" "78.5596822149523"
"38" "form.bp2.phone_vehicle" "794.400167784398"
"39" "form.bp2.not_yet_clean" "0"
"40" "form.conceive" "441.736021821488"
"41" "form.bp2.saving_money" "396.495763934936"
"42" "form.bp2.materials" "17.3003184279976"
"43" "form.bp1.anc1.anc1_abdominal_exam" "161.542094676221"
"44" "form.bp2.birth_preparedness_vid" "0"
"45" "form.bp1.using_ifa" "566.2057799306"
"46" "form.bp2.counsel_preparation" "390.898858558432"
"47" "form.bp2.now_institutional" "435.196132094787"
"48" "form.bp2.not_yet_SBA_phone" "0"
"49" "form.bp2.danger_institution" "459.181050854129"
"50" "form.bp1.anc4.anc4_blood_pressure" "1.91946696684695"
"51" "form.bp2.vehicle" "556.372919865333"
"52" "form.bp2.skin_to_skin" "402.522460022501"
"53" "form.nextvisit" "0"
"54" "form.bp_visit_num" "833.108889825936"
"55" "form.bp1.counsel_tt" "537.40203229076"
"56" "form.referral_prompt" "0"
"57" "form.family_planning_group.risk_of_preg" "71.3756521214415"
"58" "form.family_planning_group.institution_immediate" "306.943013137676"
"59" "form.bp2.cord_care_vid" "0"
"60" "form.bp1.anc4.anc4_facility" "12.6436159516896"
"61" "form.bp2.cord_care" "393.903989621572"
"62" "form.success" "0"
"63" "form.bp1.anc3_details" "76.5920705153882"
"64" "form.bp2.wrapping" "392.0162162855"
"65" "form.family_planning_vid" "0"
"66" "form.family_planning_group.stop_children" "34.1359254939847"
"67" "form.postponing" "541.221467173411"
"68" "form.family_planning_group.counsel_methods" "67.0483752207627"
"69" "form.bp1.anc2_details" "132.417768164502"
"70" "form.family_planning_group.counsel_accessible" "372.395379929745"
"71" "form.bp2.accompany" "389.367814460174"
"72" "form.bp2.play_cord_care_vid" "1257.84612413499"
"73" "form.family_planning_group.postpone_conception" "63.7819365207397"
"74" "form.bp2.not_yet_materials" "0"
"75" "form.bp2.has_danger_signs" "438.289633571003"
"76" "form.family_planning_group.counsel_benefits" "329.101069999478"
"77" "form.bp1.resting" "203.097866322064"
"78" "form.nextvisittype" "634.974746445782"
"79" "form.bp1.anc3.anc3_abnormalities" "36.4793057380951"
"80" "form.family_planning_group.counsel_institution" "326.92870229655"
"81" "form.family_planning_group.spacing_methods" "41.707365074805"
"82" "form.bp1.anc2.anc2_abnormalities" "76.5070176874964"
"83" "form.bp2.not_yet_vehicle" "0"
"84" "form.family_planning_group.avail_immediate" "311.111540419492"
"85" "form.family_planning_group.immediate_appropriate" "370.389411138993"
"86" "form.bp2.maternal_danger_signs" "595.759318412236"
"87" "form.bp2.immediate_breastfeeding" "399.377537864049"
"88" "form.BP_complete_referral_needed" "0"
"89" "form.bp1.reason_no_ifa" "3.27756094640298"
"90" "form.bp1.anc3.anc3_facility" "38.6576830725524"
"91" "form.bp2.inform_danger_signs" "103.061959608796"
