"question" "score"
"1" "form.bp2.not_yet_maternal_emergency" "0"
"2" "form.bp1.counsel_ifa" "122.56456973735"
"3" "form.bp1.anc3.anc3_blood_pressure" "9.66008512809612"
"4" "form.bp2.not_yet_institutional" "0"
"5" "form.family_planning_group.counsel_options" "316.205357250984"
"6" "form.family_planning_group.counsel_stay" "311.4172003764"
"7" "form.bp2.clean_cloth" "17.5770014844146"
"8" "form.bp2.not_yet_phone_number" "0"
"9" "form.bp1.anc2.anc2_blood_pressure" "33.150834107531"
"10" "form.family_planning_group.help_decide" "0"
"11" "form.play_family_planning_vid" "740.081847342184"
"12" "form.bp1.anc1.anc1_facility" "166.766787140315"
"13" "form.bp2.counsel_institutional" "0"
"14" "form.bp2.SBA" "12.2705478013399"
"15" "form.bp2.SBA_phone" "6.74412117414176"
"16" "form.anc_latest_num" "2723.31606859238"
"17" "form.bp1.anc3.anc3_abdominal_exam" "35.1960424295119"
"18" "form.bp1.anc4.anc4_abdominal_exam" "12.056324214273"
"19" "form.bp2.not_yet_sba" "0"
"20" "form.bp1.anc1.anc1_blood_pressure" "103.019425215413"
"21" "form.delivery_type" "678.094969405919"
"22" "form.bp1.anc1.anc1_abnormalities" "150.392742323034"
"23" "form.bp1.anc4.anc4_abnormalities" "11.96695563524"
"24" "form.bp2.care_of_home" "948.165972555731"
"25" "form.bp1.received_tt2" "89.6391470085852"
"26" "form.bp1.received_tt1" "145.578887039977"
"27" "form.family_planning_group.counsel_disqualification" "320.611240576872"
"28" "form.bp2.not_yet_maternal_emergency_number" "0"
"29" "form.bp2.play_birth_preparedness_vid" "1221.18700838608"
"30" "form.bp1.anc4_details" "36.7800874855955"
"31" "form.family_planning_group.counsel_nearest" "30.263462903088"
"32" "form.bp1.anc1_details" "806.509127828824"
"33" "form.bp1.anc2.anc2_facility" "84.2726828168028"
"34" "form.bp1.eating_extra" "760.576926711316"
"35" "form.bp2.danger_number" "979.402784519734"
"36" "form.bp1.tt_booster" "116.644759864384"
"37" "form.bp1.anc2.anc2_abdominal_exam" "78.8006235681005"
"38" "form.bp2.phone_vehicle" "798.307159716603"
"39" "form.bp2.not_yet_clean" "0"
"40" "form.conceive" "446.079714538926"
"41" "form.bp2.saving_money" "399.648951824563"
"42" "form.bp2.materials" "17.3037672891556"
"43" "form.bp1.anc1.anc1_abdominal_exam" "162.043559288258"
"44" "form.bp2.birth_preparedness_vid" "0"
"45" "form.bp1.using_ifa" "566.845807440838"
"46" "form.bp2.counsel_preparation" "394.026371627774"
"47" "form.bp2.now_institutional" "438.353336429054"
"48" "form.bp2.not_yet_SBA_phone" "0"
"49" "form.bp2.danger_institution" "462.065502755713"
"50" "form.bp1.anc4.anc4_blood_pressure" "1.91969436007343"
"51" "form.bp2.vehicle" "560.791890598308"
"52" "form.bp2.skin_to_skin" "405.809589791609"
"53" "form.nextvisit" "0"
"54" "form.bp_visit_num" "838.428534576097"
"55" "form.bp1.counsel_tt" "543.111174194493"
"56" "form.referral_prompt" "0"
"57" "form.family_planning_group.risk_of_preg" "71.563134263574"
"58" "form.family_planning_group.institution_immediate" "307.707738372082"
"59" "form.bp2.cord_care_vid" "0"
"60" "form.bp1.anc4.anc4_facility" "12.6678195785123"
"61" "form.bp2.cord_care" "397.145800905651"
"62" "form.success" "0"
"63" "form.bp1.anc3_details" "76.712432275044"
"64" "form.bp2.wrapping" "395.287587750019"
"65" "form.family_planning_vid" "0"
"66" "form.family_planning_group.stop_children" "34.1359892210387"
"67" "form.postponing" "542.531781512135"
"68" "form.family_planning_group.counsel_methods" "67.207683020566"
"69" "form.bp1.anc2_details" "132.501372406932"
"70" "form.family_planning_group.counsel_accessible" "373.64982439377"
"71" "form.bp2.accompany" "392.503181291718"
"72" "form.bp2.play_cord_care_vid" "1259.42360359475"
"73" "form.family_planning_group.postpone_conception" "63.8090389299806"
"74" "form.bp2.not_yet_materials" "0"
"75" "form.bp2.has_danger_signs" "442.540903282825"
"76" "form.family_planning_group.counsel_benefits" "330.020623083603"
"77" "form.bp1.resting" "203.122927603324"
"78" "form.nextvisittype" "644.696233202154"
"79" "form.bp1.anc3.anc3_abnormalities" "36.5730248746751"
"80" "form.family_planning_group.counsel_institution" "327.915484602474"
"81" "form.family_planning_group.spacing_methods" "41.7729065037392"
"82" "form.bp1.anc2.anc2_abnormalities" "76.7665364565879"
"83" "form.bp2.not_yet_vehicle" "0"
"84" "form.family_planning_group.avail_immediate" "312.05952906781"
"85" "form.family_planning_group.immediate_appropriate" "371.125133760549"
"86" "form.bp2.maternal_danger_signs" "597.963656740124"
"87" "form.bp2.immediate_breastfeeding" "402.670899373938"
"88" "form.BP_complete_referral_needed" "0"
"89" "form.bp1.reason_no_ifa" "3.27841512017135"
"90" "form.bp1.anc3.anc3_facility" "38.7586152546295"
"91" "form.bp2.inform_danger_signs" "103.59215046896"
