"question" "score"
"1" "form.bp2.not_yet_maternal_emergency" "0"
"2" "form.bp1.counsel_ifa" "112.303872992393"
"3" "form.bp1.anc3.anc3_blood_pressure" "98.4214206277556"
"4" "form.bp2.not_yet_institutional" "0"
"5" "form.family_planning_group.counsel_options" "1321.57597235303"
"6" "form.family_planning_group.counsel_stay" "1322.0810320696"
"7" "form.bp2.clean_cloth" "39.5096257930816"
"8" "form.bp2.not_yet_phone_number" "0"
"9" "form.bp1.anc2.anc2_blood_pressure" "311.100159477539"
"10" "form.family_planning_group.help_decide" "0"
"11" "form.play_family_planning_vid" "2274.35581895519"
"12" "form.bp1.anc1.anc1_facility" "805.257529587698"
"13" "form.bp2.counsel_institutional" "0"
"14" "form.bp2.SBA" "36.1710407348485"
"15" "form.bp2.SBA_phone" "10.6058875313538"
"16" "form.anc_latest_num" "2348.23871177853"
"17" "form.bp1.anc3.anc3_abdominal_exam" "55.9808250074929"
"18" "form.bp1.anc4.anc4_abdominal_exam" "8.84867592289986"
"19" "form.bp2.not_yet_sba" "0"
"20" "form.bp1.anc1.anc1_blood_pressure" "632.80518337389"
"21" "form.delivery_type" "2941.89413019036"
"22" "form.bp1.anc1.anc1_abnormalities" "694.75528555369"
"23" "form.bp1.anc4.anc4_abnormalities" "11.7368774548"
"24" "form.bp2.care_of_home" "2532.9677761972"
"25" "form.bp1.received_tt2" "607.433429660894"
"26" "form.bp1.received_tt1" "902.911210007248"
"27" "form.family_planning_group.counsel_disqualification" "1305.53659532297"
"28" "form.bp2.not_yet_maternal_emergency_number" "0"
"29" "form.bp2.play_birth_preparedness_vid" "2976.92009365375"
"30" "form.bp1.anc4_details" "157.873171003315"
"31" "form.family_planning_group.counsel_nearest" "68.6658120122831"
"32" "form.bp1.anc1_details" "2320.3583872273"
"33" "form.bp1.anc2.anc2_facility" "299.234905255214"
"34" "form.bp1.eating_extra" "574.753862331077"
"35" "form.bp2.danger_number" "2794.36074718395"
"36" "form.bp1.tt_booster" "564.499875156964"
"37" "form.bp1.anc2.anc2_abdominal_exam" "281.914740251199"
"38" "form.bp2.phone_vehicle" "2406.96872670645"
"39" "form.bp2.not_yet_clean" "0"
"40" "form.conceive" "1889.6543197551"
"41" "form.bp2.saving_money" "1040.03075709804"
"42" "form.bp2.materials" "32.1483424295778"
"43" "form.bp1.anc1.anc1_abdominal_exam" "810.860140669681"
"44" "form.bp2.birth_preparedness_vid" "0"
"45" "form.bp1.using_ifa" "583.456408954121"
"46" "form.bp2.counsel_preparation" "1063.7788312718"
"47" "form.bp2.now_institutional" "1607.8888812643"
"48" "form.bp2.not_yet_SBA_phone" "0"
"49" "form.bp2.danger_institution" "2033.33306309873"
"50" "form.bp1.anc4.anc4_blood_pressure" "8.68313443769027"
"51" "form.bp2.vehicle" "2141.65379693472"
"52" "form.bp2.skin_to_skin" "914.095297733553"
"53" "form.nextvisit" "0"
"54" "form.bp_visit_num" "2760.64975806106"
"55" "form.bp1.counsel_tt" "1970.17802720164"
"56" "form.referral_prompt" "0"
"57" "form.family_planning_group.risk_of_preg" "273.176418870668"
"58" "form.family_planning_group.institution_immediate" "1330.50988400922"
"59" "form.bp2.cord_care_vid" "0"
"60" "form.bp1.anc4.anc4_facility" "8.24653531087673"
"61" "form.bp2.cord_care" "1338.07540775558"
"62" "form.success" "0"
"63" "form.bp1.anc3_details" "474.291900516183"
"64" "form.bp2.wrapping" "1015.02105634464"
"65" "form.family_planning_vid" "0"
"66" "form.family_planning_group.stop_children" "170.839797926942"
"67" "form.postponing" "1556.23622313928"
"68" "form.family_planning_group.counsel_methods" "278.373305534545"
"69" "form.bp1.anc2_details" "784.74727653178"
"70" "form.family_planning_group.counsel_accessible" "1567.37895827629"
"71" "form.bp2.accompany" "1240.8240325401"
"72" "form.bp2.play_cord_care_vid" "3073.54490915154"
"73" "form.family_planning_group.postpone_conception" "294.39188422632"
"74" "form.bp2.not_yet_materials" "0"
"75" "form.bp2.has_danger_signs" "2022.42192162881"
"76" "form.family_planning_group.counsel_benefits" "1132.9512958431"
"77" "form.bp1.resting" "133.847834920437"
"78" "form.nextvisittype" "3394.38025560679"
"79" "form.bp1.anc3.anc3_abnormalities" "77.9329427423476"
"80" "form.family_planning_group.counsel_institution" "772.594641602497"
"81" "form.family_planning_group.spacing_methods" "169.499736982383"
"82" "form.bp1.anc2.anc2_abnormalities" "298.093455371016"
"83" "form.bp2.not_yet_vehicle" "0"
"84" "form.family_planning_group.avail_immediate" "1155.32833458768"
"85" "form.family_planning_group.immediate_appropriate" "1604.76839802051"
"86" "form.bp2.maternal_danger_signs" "2195.57169088356"
"87" "form.bp2.immediate_breastfeeding" "802.667024926065"
"88" "form.BP_complete_referral_needed" "0"
"89" "form.bp1.reason_no_ifa" "88.8938152847352"
"90" "form.bp1.anc3.anc3_facility" "72.1909207673816"
"91" "form.bp2.inform_danger_signs" "410.84340926621"
