"c" "percent_over" "nweeks_reporting"
"1" "89fda0284e008d2e0c980fb13f957a1e" "0.4" "10"
"2" "89fda0284e008d2e0c980fb13f94e5b7" "0.0454545454545455" "22"
"3" "89fda0284e008d2e0c980fb13f97e56a" "0.1" "20"
"4" "89fda0284e008d2e0c980fb13f97cef7" "0" "22"
"5" "89fda0284e008d2e0c980fb13f9a3e49" "0" "11"
"6" "89fda0284e008d2e0c980fb13f951435" "0" "18"
"7" "89fda0284e008d2e0c980fb13f9528e1" "0.0714285714285714" "14"
"8" "89fda0284e008d2e0c980fb13f9ad888" "0" "12"
"9" "89fda0284e008d2e0c980fb13f97bdf2" "0" "6"
"10" "89fda0284e008d2e0c980fb13f950d25" "0" "9"
"11" "89fda0284e008d2e0c980fb13f9b5305" "0.333333333333333" "3"
"12" "89fda0284e008d2e0c980fb13f979609" "0.0526315789473684" "19"
"13" "89fda0284e008d2e0c980fb13f95b755" "0.05" "20"
"14" "89fda0284e008d2e0c980fb13f9ad330" "0" "7"
"15" "89fda0284e008d2e0c980fb13f97722c" "0.0833333333333333" "12"
"16" "89fda0284e008d2e0c980fb13f97a0ca" "0" "12"
"17" "70c6ba6f55ed21716fe725c21469e6ed" "0" "12"
"18" "70c6ba6f55ed21716fe725c21469c91d" "0" "9"
"19" "89fda0284e008d2e0c980fb13f99a86d" "0" "23"
"20" "89fda0284e008d2e0c980fb13f99a592" "0.0833333333333333" "12"
"21" "70c6ba6f55ed21716fe725c21469fe3b" "0.0454545454545455" "22"
"22" "89fda0284e008d2e0c980fb13f9a94f7" "0" "16"
"23" "89fda0284e008d2e0c980fb13f99a47e" "0" "9"
"24" "89fda0284e008d2e0c980fb13f98872f" "0.136363636363636" "22"
"25" "89fda0284e008d2e0c980fb13f97eeaa" "0.08" "25"
"26" "89fda0284e008d2e0c980fb13f981bae" "0" "10"
"27" "89fda0284e008d2e0c980fb13f9b1273" "0.0909090909090909" "11"
"28" "89fda0284e008d2e0c980fb13f9b0cfa" "0.1" "10"
"29" "89fda0284e008d2e0c980fb13f983809" "0.0769230769230769" "13"
"30" "89fda0284e008d2e0c980fb13f9900d3" "0" "4"
"31" "89fda0284e008d2e0c980fb13f96372c" "0.1" "20"
"32" "89fda0284e008d2e0c980fb13f978e69" "0" "6"
"33" "89fda0284e008d2e0c980fb13f98311d" "0" "5"
"34" "89fda0284e008d2e0c980fb13f9b46eb" "0" "23"
"35" "89fda0284e008d2e0c980fb13f964e6a" "0" "21"
"36" "89fda0284e008d2e0c980fb13f97850c" "0.12" "25"
"37" "89fda0284e008d2e0c980fb13f973bdc" "0" "8"
"38" "89fda0284e008d2e0c980fb13f99f8e5" "0.0416666666666667" "24"
"39" "89fda0284e008d2e0c980fb13f995be3" "0" "14"
"40" "89fda0284e008d2e0c980fb13f9917a0" "0.0476190476190476" "21"
"41" "89fda0284e008d2e0c980fb13f94fae5" "0.0833333333333333" "12"
"42" "89fda0284e008d2e0c980fb13f960ab3" "0.0666666666666667" "15"
"43" "89fda0284e008d2e0c980fb13f994cf8" "0.0526315789473684" "19"
"44" "89fda0284e008d2e0c980fb13f9623b3" "0.0625" "16"
"45" "89fda0284e008d2e0c980fb13f953df5" "0.142857142857143" "14"
"46" "89fda0284e008d2e0c980fb13f9a51a9" "0.307692307692308" "13"
"47" "fcd13ae716841026ee760704bb0d89a7" "0" "3"
"48" "89fda0284e008d2e0c980fb13f978578" "0" "10"
"49" "89fda0284e008d2e0c980fb13f96807a" "0.0740740740740741" "27"
"50" "89fda0284e008d2e0c980fb13f9b3f75" "0.0454545454545455" "22"
"51" "fcd13ae716841026ee760704bb0d99ee" "0.0416666666666667" "24"
"52" "89fda0284e008d2e0c980fb13f956856" "0" "6"
"53" "89fda0284e008d2e0c980fb13f95477d" "0" "17"
"54" "89fda0284e008d2e0c980fb13f99886e" "0" "3"
"55" "89fda0284e008d2e0c980fb13f9899b3" "0" "5"
"56" "89fda0284e008d2e0c980fb13f9afb45" "0" "2"
"57" "89fda0284e008d2e0c980fb13f98fe2e" "0" "6"
"58" "89fda0284e008d2e0c980fb13f99b52b" "0" "8"
"59" "89fda0284e008d2e0c980fb13f966efc" "0" "18"
"60" "89fda0284e008d2e0c980fb13f978216" "0" "17"
"61" "89fda0284e008d2e0c980fb13f9992a6" "0.0588235294117647" "17"
"62" "89fda0284e008d2e0c980fb13f95fe45" "0.0555555555555556" "18"
"63" "89fda0284e008d2e0c980fb13f999c89" "0" "13"
"64" "89fda0284e008d2e0c980fb13f970c18" "0" "9"
"65" "89fda0284e008d2e0c980fb13f97dff4" "0.222222222222222" "18"
"66" "89fda0284e008d2e0c980fb13f96442a" "0" "15"
"67" "89fda0284e008d2e0c980fb13f964b7e" "0" "22"
"68" "89fda0284e008d2e0c980fb13f99a3ad" "0.0555555555555556" "18"
"69" "89fda0284e008d2e0c980fb13f960194" "0" "13"
"70" "89fda0284e008d2e0c980fb13f972945" "0" "9"
"71" "89fda0284e008d2e0c980fb13f97b53a" "0" "5"
"72" "89fda0284e008d2e0c980fb13f968eb0" "0" "15"
"73" "89fda0284e008d2e0c980fb13f9509fd" "0" "13"
"74" "89fda0284e008d2e0c980fb13f9628e2" "0.0769230769230769" "26"
"75" "89fda0284e008d2e0c980fb13f96e561" "0" "4"
"76" "89fda0284e008d2e0c980fb13f9978cb" "0" "4"
"77" "89fda0284e008d2e0c980fb13f95f7a6" "0.0454545454545455" "22"
