"c" "over_count" "over_ratio" "nweeks_reporting"
"1" "89fda0284e008d2e0c980fb13f957a1e" "68" "0.134387351778656" "506"
"2" "89fda0284e008d2e0c980fb13f9ad330" "1" "0.00280112044817927" "357"
"3" "89fda0284e008d2e0c980fb13f97e56a" "61" "0.0575471698113208" "1060"
"4" "89fda0284e008d2e0c980fb13f97bdf2" "2" "0.00634920634920635" "315"
"5" "89fda0284e008d2e0c980fb13f9a3e49" "18" "0.0319148936170213" "564"
"6" "89fda0284e008d2e0c980fb13f95b755" "23" "0.0218009478672986" "1055"
"7" "89fda0284e008d2e0c980fb13f9528e1" "27" "0.0370879120879121" "728"
"8" "89fda0284e008d2e0c980fb13f94e5b7" "26" "0.0222412318220701" "1169"
"9" "89fda0284e008d2e0c980fb13f97cef7" "45" "0.0390964378801043" "1151"
"10" "89fda0284e008d2e0c980fb13f950d25" "8" "0.016597510373444" "482"
"11" "89fda0284e008d2e0c980fb13f97a0ca" "0" "0" "642"
"12" "89fda0284e008d2e0c980fb13f9ad888" "19" "0.029320987654321" "648"
"13" "70c6ba6f55ed21716fe725c21469c91d" "5" "0.0105708245243129" "473"
"14" "89fda0284e008d2e0c980fb13f979609" "51" "0.0527404343329886" "967"
"15" "89fda0284e008d2e0c980fb13f951435" "15" "0.0151668351870576" "989"
"16" "89fda0284e008d2e0c980fb13f9b5305" "20" "0.137931034482759" "145"
"17" "70c6ba6f55ed21716fe725c21469e6ed" "15" "0.0234009360374415" "641"
"18" "89fda0284e008d2e0c980fb13f97722c" "43" "0.0713101160862355" "603"
"19" "89fda0284e008d2e0c980fb13f99a86d" "30" "0.0240577385725742" "1247"
"20" "89fda0284e008d2e0c980fb13f99a592" "21" "0.0329153605015674" "638"
"21" "70c6ba6f55ed21716fe725c21469fe3b" "19" "0.0161702127659574" "1175"
"22" "89fda0284e008d2e0c980fb13f9a94f7" "23" "0.0269005847953216" "855"
"23" "89fda0284e008d2e0c980fb13f98872f" "56" "0.0467055879899917" "1199"
"24" "89fda0284e008d2e0c980fb13f99a47e" "8" "0.0159045725646123" "503"
"25" "89fda0284e008d2e0c980fb13f981bae" "1" "0.00185873605947955" "538"
"26" "89fda0284e008d2e0c980fb13f97eeaa" "42" "0.031413612565445" "1337"
"27" "89fda0284e008d2e0c980fb13f9b1273" "32" "0.0541455160744501" "591"
"28" "89fda0284e008d2e0c980fb13f9b0cfa" "19" "0.0366088631984586" "519"
"29" "89fda0284e008d2e0c980fb13f99f8e5" "30" "0.023130300693909" "1297"
"30" "89fda0284e008d2e0c980fb13f97850c" "64" "0.0476190476190476" "1344"
"31" "89fda0284e008d2e0c980fb13f973bdc" "10" "0.0245098039215686" "408"
"32" "89fda0284e008d2e0c980fb13f96372c" "57" "0.0543893129770992" "1048"
"33" "89fda0284e008d2e0c980fb13f98311d" "11" "0.0438247011952191" "251"
"34" "89fda0284e008d2e0c980fb13f964e6a" "39" "0.0349775784753363" "1115"
"35" "89fda0284e008d2e0c980fb13f983809" "25" "0.037593984962406" "665"
"36" "89fda0284e008d2e0c980fb13f9917a0" "37" "0.0325991189427313" "1135"
"37" "89fda0284e008d2e0c980fb13f9900d3" "4" "0.0207253886010363" "193"
"38" "89fda0284e008d2e0c980fb13f995be3" "32" "0.0437158469945355" "732"
"39" "89fda0284e008d2e0c980fb13f960ab3" "38" "0.0473815461346633" "802"
"40" "89fda0284e008d2e0c980fb13f9b46eb" "22" "0.017741935483871" "1240"
"41" "89fda0284e008d2e0c980fb13f94fae5" "46" "0.0741935483870968" "620"
"42" "89fda0284e008d2e0c980fb13f994cf8" "73" "0.071779744346116" "1017"
"43" "89fda0284e008d2e0c980fb13f9623b3" "27" "0.0322195704057279" "838"
"44" "89fda0284e008d2e0c980fb13f978e69" "13" "0.0422077922077922" "308"
"45" "89fda0284e008d2e0c980fb13f96807a" "72" "0.0485175202156334" "1484"
"46" "89fda0284e008d2e0c980fb13f953df5" "69" "0.0880102040816327" "784"
"47" "89fda0284e008d2e0c980fb13f9b3f75" "34" "0.0278688524590164" "1220"
"48" "89fda0284e008d2e0c980fb13f9509fd" "13" "0.0185185185185185" "702"
"49" "89fda0284e008d2e0c980fb13f9992a6" "39" "0.0420711974110032" "927"
"50" "89fda0284e008d2e0c980fb13f978578" "1" "0.00182481751824818" "548"
"51" "89fda0284e008d2e0c980fb13f9a51a9" "56" "0.0776699029126214" "721"
"52" "89fda0284e008d2e0c980fb13f9628e2" "86" "0.0609929078014184" "1410"
"53" "89fda0284e008d2e0c980fb13f9899b3" "2" "0.00743494423791822" "269"
"54" "89fda0284e008d2e0c980fb13f960194" "9" "0.0122783083219645" "733"
"55" "fcd13ae716841026ee760704bb0d89a7" "0" "0" "172"
"56" "89fda0284e008d2e0c980fb13f956856" "12" "0.037037037037037" "324"
"57" "89fda0284e008d2e0c980fb13f999c89" "15" "0.0226244343891403" "663"
"58" "89fda0284e008d2e0c980fb13f9afb45" "4" "0.0357142857142857" "112"
"59" "89fda0284e008d2e0c980fb13f9ad060" "67" "0.0718113612004287" "933"
"60" "89fda0284e008d2e0c980fb13f96442a" "32" "0.0387409200968523" "826"
"61" "fcd13ae716841026ee760704bb0d99ee" "41" "0.031441717791411" "1304"
"62" "fcd13ae716841026ee760704bb0da4a8" "13" "0.0232142857142857" "560"
"63" "89fda0284e008d2e0c980fb13f966efc" "44" "0.0446700507614213" "985"
"64" "89fda0284e008d2e0c980fb13f970c18" "26" "0.0540540540540541" "481"
"65" "89fda0284e008d2e0c980fb13f95477d" "5" "0.00544069640914037" "919"
"66" "89fda0284e008d2e0c980fb13f99886e" "8" "0.0536912751677852" "149"
"67" "89fda0284e008d2e0c980fb13f978216" "36" "0.0385026737967914" "935"
"68" "89fda0284e008d2e0c980fb13f964b7e" "35" "0.0289735099337748" "1208"
"69" "89fda0284e008d2e0c980fb13f97dff4" "67" "0.0692148760330579" "968"
"70" "89fda0284e008d2e0c980fb13f99b52b" "5" "0.0116009280742459" "431"
"71" "89fda0284e008d2e0c980fb13f950688" "14" "0.028169014084507" "497"
"72" "89fda0284e008d2e0c980fb13f95fe45" "36" "0.0373056994818653" "965"
"73" "89fda0284e008d2e0c980fb13f966e31" "30" "0.0303030303030303" "990"
"74" "89fda0284e008d2e0c980fb13f99a3ad" "23" "0.0235897435897436" "975"
"75" "89fda0284e008d2e0c980fb13f968eb0" "50" "0.0600240096038415" "833"
"76" "89fda0284e008d2e0c980fb13f985a55" "1" "0.00196078431372549" "510"
"77" "89fda0284e008d2e0c980fb13f970282" "27" "0.0687022900763359" "393"
"78" "89fda0284e008d2e0c980fb13f99d8c6" "24" "0.030808729139923" "779"
"79" "89fda0284e008d2e0c980fb13f97b53a" "2" "0.00711743772241993" "281"
"80" "89fda0284e008d2e0c980fb13f98fe2e" "3" "0.00890207715133531" "337"
