"weeks" "mean" "sd"
"1" "012-08-06." 0.380657615253952 0.265141758472341
"2" "012-08-13." 0.547990664843972 0.588897457321993
"3" "012-08-20." 0.2900321819147 0.310807469032109
"4" "012-08-27." 0.516416853949844 0.97660565046894
"5" "012-09-03." 0.405396345255088 0.253435868461808
"6" "012-09-10." 0.383727741306154 0.238800462747668
"7" "012-09-17." 0.386048480103787 0.283638737580271
"8" "012-09-24." 0.407658163956927 0.294773709790658
"9" "012-10-01." 0.358858346213255 0.204783832120149
"10" "012-10-08." 0.339184347379808 0.214348991126813
"11" "012-10-15." 0.358676679146731 0.245990608617619
"12" "012-10-22." 0.28175127853852 0.189031587764716
"13" "012-10-29." 0.344101073127298 0.291226178790178
"14" "012-11-05." 0.375164699823208 0.260101508793098
"15" "012-11-12." 0.367746550751094 0.272726638058458
"16" "012-11-19." 0.287017560818561 0.197726866533133
"17" "012-11-26." 0.332238904028434 0.196835909898918
"18" "012-12-03." 0.285579199595029 0.198090602558331
"19" "012-12-10." 0.240138560422002 0.140899652243229
"20" "012-12-17." 0.255215285380519 0.155451117799232
"21" "012-12-24." 0.359684519202335 0.248048319842726
"22" "012-12-31." 0.312887566843645 0.177813817353791
"23" "013-01-07." 0.347463533652177 0.27854107899732
"24" "013-01-14." 0.272731662332864 0.14741464352317
"25" "013-01-21." 0.316413258157043 0.198457949325044
"26" "013-01-28." 0.282088945100641 0.138921110631652
"27" "013-02-04." 0.322959787442125 0.175509742176692
"28" "013-02-11." 0.311526374472512 0.205898959644199
"29" "013-02-18." 0.303634898516672 0.243535112800409
"30" "013-02-25." 0.289180892049151 0.162189009806709
"31" "013-03-04." 0.317973433052043 0.199254504013775
"32" "013-03-11." 0.324358443920601 0.175850110889126
"33" "013-03-18." 0.299827797161312 0.228370167186482
"34" "013-03-25." 0.348172415252239 0.242476398876499
"35" "013-04-01." 0.337315212693746 0.259802632634147
"36" "013-04-08." 0.370387942427449 0.261980113537529
"37" "013-04-15." 0.324284997809248 0.212448107016215
"38" "013-04-19." 0.245807457808885 0.183089733453872
