weeks,bottom_1,bottom_2,bottom_3,top_1,top_2,top_3
1,,,,,,
2,,,,,,
3,,,,,,0.125
4,,,,,,
5,0.08974359,0.41025641,,0.935897436,,
6,,0.153846154,,,,
7,,0.62,,,,
8,,,,,,
9,,0.166666667,,,,0.736111111
10,,0.018518519,0.666666667,,,
11,0.078125,0.5,0.3125,,,
12,0.052631579,0.035087719,,,,0.929824561
13,,0.605263158,0.368421053,,,0.657894737
14,,,,,,0.329545455
15,0.279069767,,,0.127906977,,
16,,,,,,
17,,,0.413793103,0.586206897,,0.327586207
18,,,,1,,0.833333333
19,0.71641791,,,,,0.925373134
20,0.347826087,,0.420289855,,,0.927536232
21,,,,,1,0.791666667
22,0.058823529,,0.274509804,0.725490196,0.960784314,0.980392157
23,0.68627451,,0.568627451,,,0.843137255
24,0.043478261,,0.652173913,,,
25,,,,,0.186440678,
26,,0.072463768,0.333333333,0.188405797,0.652173913,
27,0.44,0.12,,,,0.773333333
28,,,,0.966666667,0.611111111,0.822222222
29,0.164383562,,,,0.575342466,0.931506849
30,,0.301204819,0.445783133,0.951807229,0.530120482,
31,,0.012048193,0.084337349,0.939759036,0.277108434,
32,,,0.272727273,,0.647727273,
33,,,,,0.926470588,
34,0.161904762,0.123809524,0.276190476,0.942857143,0.247619048,0.752380952
35,0.329113924,,0.202531646,0.556962025,0.911392405,
36,,,,0.670731707,0.93902439,0.158536585
37,0.478723404,,,0.106382979,0.882978723,0.861702128
38,0.485714286,0.238095238,0.523809524,,0.428571429,0.60952381
39,0.011627907,0.61627907,0.360465116,0.453488372,0.918604651,
40,0.336956522,0.815217391,,0.315217391,0.836956522,
41,0.056179775,,,,0.943820225,0.528089888
42,,,0.319587629,,0.81443299,0.484536082
43,,0.564102564,0.230769231,1,0.658119658,
44,,,0.47,0.96,0.24,0.81
45,,0.177570093,,0.943925234,0.598130841,0.280373832
46,,0.072916667,,,0.979166667,0.96875
47,,0.163461538,,,,0.538461538
48,0.731481481,0.027777778,0.111111111,0.962962963,0.675925926,0.75
49,0.306122449,0.724489796,0.336734694,,0.979591837,
50,,0.712871287,0.405940594,0.772277228,0.841584158,
