"c" "over_count" "over_months" "over_ratio" "nmonths_reporting"
"1" "89fda0284e008d2e0c980fb13f9917a0" "12" "6" "0.111111111111111" "9"
"2" "89fda0284e008d2e0c980fb13f96807a" "20" "7" "0.111111111111111" "9"
"3" "89fda0284e008d2e0c980fb13f953df5" "31" "6" "0.166666666666667" "6"
"4" "89fda0284e008d2e0c980fb13f9b3f75" "6" "5" "0.111111111111111" "9"
"5" "89fda0284e008d2e0c980fb13f957a1e" "30" "6" "0.166666666666667" "6"
"6" "89fda0284e008d2e0c980fb13f9ad330" "2" "1" "0.166666666666667" "6"
"7" "89fda0284e008d2e0c980fb13f97e56a" "41" "4" "0.111111111111111" "9"
"8" "89fda0284e008d2e0c980fb13f94e5b7" "20" "7" "0.111111111111111" "9"
"9" "89fda0284e008d2e0c980fb13f99f8e5" "16" "5" "0.111111111111111" "9"
"10" "89fda0284e008d2e0c980fb13f97eeaa" "45" "9" "0.111111111111111" "9"
"11" "89fda0284e008d2e0c980fb13f97850c" "32" "7" "0.111111111111111" "9"
"12" "89fda0284e008d2e0c980fb13f99a592" "5" "2" "0.142857142857143" "7"
"13" "89fda0284e008d2e0c980fb13f989136" "34" "3" "0.166666666666667" "6"
"14" "89fda0284e008d2e0c980fb13f97dff4" "27" "7" "0.111111111111111" "9"
"15" "89fda0284e008d2e0c980fb13f97722c" "15" "3" "0.166666666666667" "6"
"16" "89fda0284e008d2e0c980fb13f969126" "27" "6" "0.142857142857143" "7"
"17" "89fda0284e008d2e0c980fb13f950d25" "1" "1" "0.142857142857143" "7"
"18" "89fda0284e008d2e0c980fb13f960ab3" "13" "4" "0.125" "8"
"19" "89fda0284e008d2e0c980fb13f9509fd" "2" "2" "0.111111111111111" "9"
"20" "89fda0284e008d2e0c980fb13f995be3" "12" "5" "0.166666666666667" "6"
"21" "89fda0284e008d2e0c980fb13f9a7b0c" "26" "6" "0.111111111111111" "9"
"22" "89fda0284e008d2e0c980fb13f955485" "35" "5" "0.142857142857143" "7"
"23" "89fda0284e008d2e0c980fb13f9992a6" "18" "5" "0.111111111111111" "9"
"24" "89fda0284e008d2e0c980fb13f97cef7" "25" "7" "0.125" "8"
"25" "70c6ba6f55ed21716fe725c21469fe3b" "15" "8" "0.111111111111111" "9"
"26" "89fda0284e008d2e0c980fb13f99b52b" "1" "1" "0.2" "5"
"27" "89fda0284e008d2e0c980fb13f973bdc" "3" "1" "0.2" "5"
"28" "89fda0284e008d2e0c980fb13f97bdf2" "0" "0" "0.25" "4"
"29" "89fda0284e008d2e0c980fb13f95b755" "8" "3" "0.111111111111111" "9"
"30" "89fda0284e008d2e0c980fb13f99a86d" "26" "6" "0.111111111111111" "9"
"31" "89fda0284e008d2e0c980fb13f978578" "0" "0" "0.166666666666667" "6"
"32" "89fda0284e008d2e0c980fb13f9735c8" "3" "1" "0.125" "8"
"33" "89fda0284e008d2e0c980fb13f966e31" "11" "5" "0.111111111111111" "9"
"34" "89fda0284e008d2e0c980fb13f980ee3" "0" "0" "0.142857142857143" "7"
"35" "70c6ba6f55ed21716fe725c2146966b6" "0" "0" "0.333333333333333" "3"
"36" "89fda0284e008d2e0c980fb13f9b0cfa" "10" "3" "0.142857142857143" "7"
"37" "89fda0284e008d2e0c980fb13f94d6ef" "9" "5" "0.125" "8"
"38" "89fda0284e008d2e0c980fb13f9ac931" "10" "2" "0.142857142857143" "7"
"39" "89fda0284e008d2e0c980fb13f9a51a9" "20" "4" "0.142857142857143" "7"
"40" "89fda0284e008d2e0c980fb13f97a0ca" "2" "2" "0.166666666666667" "6"
"41" "89fda0284e008d2e0c980fb13f96372c" "24" "6" "0.142857142857143" "7"
"42" "89fda0284e008d2e0c980fb13f9628e2" "63" "7" "0.125" "8"
"43" "89fda0284e008d2e0c980fb13f978e69" "4" "1" "0.25" "4"
"44" "89fda0284e008d2e0c980fb13f979609" "27" "7" "0.111111111111111" "9"
"45" "89fda0284e008d2e0c980fb13f9899b3" "4" "1" "0.25" "4"
"46" "89fda0284e008d2e0c980fb13f960194" "5" "3" "0.111111111111111" "9"
"47" "89fda0284e008d2e0c980fb13f9528e1" "5" "2" "0.125" "8"
"48" "89fda0284e008d2e0c980fb13f9a94f7" "7" "4" "0.111111111111111" "9"
"49" "89fda0284e008d2e0c980fb13f98872f" "33" "6" "0.125" "8"
"50" "89fda0284e008d2e0c980fb13f9b5439" "3" "1" "0.125" "8"
"51" "89fda0284e008d2e0c980fb13f98311d" "2" "1" "0.2" "5"
"52" "89fda0284e008d2e0c980fb13f9a3e49" "5" "3" "0.142857142857143" "7"
"53" "89fda0284e008d2e0c980fb13f999899" "2" "2" "0.142857142857143" "7"
"54" "89fda0284e008d2e0c980fb13f964e6a" "12" "6" "0.125" "8"
"55" "89fda0284e008d2e0c980fb13f983809" "2" "2" "0.142857142857143" "7"
"56" "89fda0284e008d2e0c980fb13f9900d3" "0" "0" "0.25" "4"
"57" "fcd13ae716841026ee760704bb0d89a7" "0" "0" "0.333333333333333" "3"
"58" "89fda0284e008d2e0c980fb13f956856" "5" "3" "0.2" "5"
"59" "89fda0284e008d2e0c980fb13f96442a" "9" "6" "0.111111111111111" "9"
"60" "89fda0284e008d2e0c980fb13f99a47e" "0" "0" "0.142857142857143" "7"
"61" "89fda0284e008d2e0c980fb13f999c89" "4" "2" "0.142857142857143" "7"
"62" "89fda0284e008d2e0c980fb13f951435" "5" "4" "0.111111111111111" "9"
"63" "89fda0284e008d2e0c980fb13f98f9d5" "1" "1" "0.2" "5"
"64" "89fda0284e008d2e0c980fb13f9afb45" "1" "1" "0.333333333333333" "3"
"65" "89fda0284e008d2e0c980fb13f9ad060" "11" "4" "0.125" "8"
"66" "89fda0284e008d2e0c980fb13f981bae" "1" "1" "0.125" "8"
"67" "89fda0284e008d2e0c980fb13f9a88cd" "6" "3" "0.142857142857143" "7"
"68" "89fda0284e008d2e0c980fb13f966281" "19" "5" "0.125" "8"
"69" "89fda0284e008d2e0c980fb13f95fe45" "18" "5" "0.111111111111111" "9"
"70" "89fda0284e008d2e0c980fb13f9ad383" "0" "0" "1" "1"
"71" "fcd13ae716841026ee760704bb0d99ee" "20" "6" "0.111111111111111" "9"
"72" "fcd13ae716841026ee760704bb0da4a8" "4" "2" "0.2" "5"
"73" "89fda0284e008d2e0c980fb13f966efc" "18" "5" "0.125" "8"
"74" "89fda0284e008d2e0c980fb13f970c18" "27" "6" "0.142857142857143" "7"
"75" "89fda0284e008d2e0c980fb13f992e2c" "11" "4" "0.125" "8"
"76" "89fda0284e008d2e0c980fb13f99f651" "0" "0" "0.142857142857143" "7"
"77" "70c6ba6f55ed21716fe725c21469e6ed" "5" "2" "0.111111111111111" "9"
"78" "89fda0284e008d2e0c980fb13f996b98" "36" "5" "0.111111111111111" "9"
"79" "89fda0284e008d2e0c980fb13f95dbc7" "2" "1" "0.142857142857143" "7"
"80" "89fda0284e008d2e0c980fb13f95477d" "6" "5" "0.125" "8"
"81" "89fda0284e008d2e0c980fb13f99886e" "4" "3" "0.2" "5"
"82" "89fda0284e008d2e0c980fb13f978216" "16" "5" "0.125" "8"
"83" "89fda0284e008d2e0c980fb13f964b7e" "17" "6" "0.111111111111111" "9"
"84" "89fda0284e008d2e0c980fb13f9ad888" "6" "3" "0.142857142857143" "7"
"85" "89fda0284e008d2e0c980fb13f9623b3" "3" "3" "0.111111111111111" "9"
"86" "89fda0284e008d2e0c980fb13f968eb0" "16" "6" "0.111111111111111" "9"
"87" "89fda0284e008d2e0c980fb13f98e475" "6" "2" "0.25" "4"
"88" "89fda0284e008d2e0c980fb13f950688" "6" "2" "0.125" "8"
"89" "89fda0284e008d2e0c980fb13f98736b" "7" "3" "0.111111111111111" "9"
"90" "89fda0284e008d2e0c980fb13f9b46eb" "18" "4" "0.125" "8"
"91" "89fda0284e008d2e0c980fb13f94fae5" "19" "3" "0.142857142857143" "7"
"92" "70c6ba6f55ed21716fe725c21469c91d" "4" "2" "0.142857142857143" "7"
"93" "89fda0284e008d2e0c980fb13f97cb4f" "1" "1" "0.2" "5"
"94" "89fda0284e008d2e0c980fb13f956dab" "5" "2" "0.166666666666667" "6"
"95" "89fda0284e008d2e0c980fb13f99d8c6" "6" "3" "0.125" "8"
"96" "89fda0284e008d2e0c980fb13f9b5305" "16" "2" "0.333333333333333" "3"
"97" "89fda0284e008d2e0c980fb13f94f3f9" "3" "1" "0.166666666666667" "6"
"98" "89fda0284e008d2e0c980fb13f97b53a" "1" "1" "0.2" "5"
"99" "89fda0284e008d2e0c980fb13f96554b" "15" "6" "0.111111111111111" "9"
"100" "89fda0284e008d2e0c980fb13f99a3ad" "14" "5" "0.125" "8"
"101" "89fda0284e008d2e0c980fb13f980116" "13" "5" "0.125" "8"
"102" "89fda0284e008d2e0c980fb13f994cf8" "16" "5" "0.111111111111111" "9"
"103" "89fda0284e008d2e0c980fb13f9b1273" "13" "4" "0.125" "8"
"104" "89fda0284e008d2e0c980fb13f985a55" "0" "0" "0.142857142857143" "7"
"105" "89fda0284e008d2e0c980fb13f970282" "9" "2" "0.2" "5"
"106" "89fda0284e008d2e0c980fb13f98fe2e" "2" "1" "0.2" "5"
"107" "89fda0284e008d2e0c980fb13f9978cb" "9" "4" "0.2" "5"
"108" "89fda0284e008d2e0c980fb13f972945" "8" "2" "0.2" "5"
"109" "89fda0284e008d2e0c980fb13f9a6042" "14" "4" "0.125" "8"
"110" "89fda0284e008d2e0c980fb13f96e561" "0" "0" "0.2" "5"
"111" "89fda0284e008d2e0c980fb13f975e5c" "4" "2" "0.166666666666667" "6"
"112" "89fda0284e008d2e0c980fb13f97bafa" "11" "4" "0.111111111111111" "9"
