"c" "over_count" "over_weeks" "over_ratio" "nweeks_reporting"
"1" "89fda0284e008d2e0c980fb13f957a1e" "58" "7" "0.1" "10"
"2" "89fda0284e008d2e0c980fb13f9ad330" "0" "0" "0.142857142857143" "7"
"3" "89fda0284e008d2e0c980fb13f97e56a" "49" "10" "0.05" "20"
"4" "89fda0284e008d2e0c980fb13f97bdf2" "0" "0" "0.166666666666667" "6"
"5" "89fda0284e008d2e0c980fb13f9a3e49" "10" "5" "0.0909090909090909" "11"
"6" "89fda0284e008d2e0c980fb13f95b755" "17" "4" "0.05" "20"
"7" "89fda0284e008d2e0c980fb13f9528e1" "19" "1" "0.0714285714285714" "14"
"8" "89fda0284e008d2e0c980fb13f94e5b7" "22" "10" "0.0454545454545455" "22"
"9" "89fda0284e008d2e0c980fb13f97cef7" "45" "12" "0.0454545454545455" "22"
"10" "89fda0284e008d2e0c980fb13f950d25" "6" "3" "0.111111111111111" "9"
"11" "89fda0284e008d2e0c980fb13f97a0ca" "3" "3" "0.0833333333333333" "12"
"12" "89fda0284e008d2e0c980fb13f9ad888" "5" "2" "0.0833333333333333" "12"
"13" "70c6ba6f55ed21716fe725c21469c91d" "7" "4" "0.111111111111111" "9"
"14" "89fda0284e008d2e0c980fb13f979609" "34" "7" "0.0526315789473684" "19"
"15" "89fda0284e008d2e0c980fb13f951435" "8" "6" "0.0555555555555556" "18"
"16" "89fda0284e008d2e0c980fb13f9b5305" "18" "2" "0.333333333333333" "3"
"17" "70c6ba6f55ed21716fe725c21469e6ed" "6" "2" "0.0833333333333333" "12"
"18" "89fda0284e008d2e0c980fb13f97722c" "25" "4" "0.0833333333333333" "12"
"19" "89fda0284e008d2e0c980fb13f99a86d" "42" "15" "0.0434782608695652" "23"
"20" "89fda0284e008d2e0c980fb13f99a592" "15" "3" "0.0833333333333333" "12"
"21" "70c6ba6f55ed21716fe725c21469fe3b" "21" "10" "0.0454545454545455" "22"
"22" "89fda0284e008d2e0c980fb13f9a94f7" "21" "7" "0.0625" "16"
"23" "89fda0284e008d2e0c980fb13f98872f" "41" "13" "0.0454545454545455" "22"
"24" "89fda0284e008d2e0c980fb13f99a47e" "3" "3" "0.111111111111111" "9"
"25" "89fda0284e008d2e0c980fb13f981bae" "1" "1" "0.1" "10"
"26" "89fda0284e008d2e0c980fb13f97eeaa" "39" "12" "0.04" "25"
"27" "89fda0284e008d2e0c980fb13f9b1273" "26" "5" "0.0909090909090909" "11"
"28" "89fda0284e008d2e0c980fb13f9b0cfa" "18" "3" "0.1" "10"
"29" "89fda0284e008d2e0c980fb13f99f8e5" "27" "8" "0.0416666666666667" "24"
"30" "89fda0284e008d2e0c980fb13f97850c" "56" "12" "0.04" "25"
"31" "89fda0284e008d2e0c980fb13f973bdc" "9" "2" "0.125" "8"
"32" "89fda0284e008d2e0c980fb13f96372c" "45" "9" "0.05" "20"
"33" "89fda0284e008d2e0c980fb13f98311d" "8" "2" "0.2" "5"
"34" "89fda0284e008d2e0c980fb13f964e6a" "28" "10" "0.0476190476190476" "21"
"35" "89fda0284e008d2e0c980fb13f983809" "17" "4" "0.0769230769230769" "13"
"36" "89fda0284e008d2e0c980fb13f9917a0" "25" "7" "0.0476190476190476" "21"
"37" "89fda0284e008d2e0c980fb13f9900d3" "4" "2" "0.25" "4"
"38" "89fda0284e008d2e0c980fb13f995be3" "20" "6" "0.0714285714285714" "14"
"39" "89fda0284e008d2e0c980fb13f960ab3" "26" "6" "0.0666666666666667" "15"
"40" "89fda0284e008d2e0c980fb13f9b46eb" "15" "5" "0.0434782608695652" "23"
"41" "89fda0284e008d2e0c980fb13f94fae5" "33" "4" "0.0833333333333333" "12"
"42" "89fda0284e008d2e0c980fb13f994cf8" "61" "13" "0.0526315789473684" "19"
"43" "89fda0284e008d2e0c980fb13f9623b3" "24" "3" "0.0625" "16"
"44" "89fda0284e008d2e0c980fb13f978e69" "9" "5" "0.166666666666667" "6"
"45" "89fda0284e008d2e0c980fb13f96807a" "59" "15" "0.037037037037037" "27"
"46" "89fda0284e008d2e0c980fb13f953df5" "55" "11" "0.0714285714285714" "14"
"47" "89fda0284e008d2e0c980fb13f9b3f75" "31" "5" "0.0454545454545455" "22"
