"c" "over_count" "over_ratio" "nmonths_reporting"
"1" "89fda0284e008d2e0c980fb13f9917a0" "12" "0.0195758564437194" "613"
"2" "89fda0284e008d2e0c980fb13f96807a" "20" "0.032626427406199" "613"
"3" "89fda0284e008d2e0c980fb13f953df5" "31" "0.0765432098765432" "405"
"4" "89fda0284e008d2e0c980fb13f9b3f75" "6" "0.00978792822185971" "613"
"5" "89fda0284e008d2e0c980fb13f957a1e" "30" "0.0744416873449131" "403"
"6" "89fda0284e008d2e0c980fb13f9ad330" "2" "0.00493827160493827" "405"
"7" "89fda0284e008d2e0c980fb13f97e56a" "41" "0.066884176182708" "613"
"8" "89fda0284e008d2e0c980fb13f94e5b7" "20" "0.0325732899022801" "614"
"9" "89fda0284e008d2e0c980fb13f99f8e5" "16" "0.0261011419249592" "613"
"10" "89fda0284e008d2e0c980fb13f97eeaa" "45" "0.0734094616639478" "613"
"11" "89fda0284e008d2e0c980fb13f97850c" "32" "0.0522875816993464" "612"
"12" "89fda0284e008d2e0c980fb13f99a592" "5" "0.0103734439834025" "482"
"13" "89fda0284e008d2e0c980fb13f989136" "34" "0.0817307692307692" "416"
"14" "89fda0284e008d2e0c980fb13f97dff4" "27" "0.0441176470588235" "612"
"15" "89fda0284e008d2e0c980fb13f97722c" "15" "0.0372208436724566" "403"
"16" "89fda0284e008d2e0c980fb13f969126" "27" "0.0568421052631579" "475"
"17" "89fda0284e008d2e0c980fb13f950d25" "1" "0.00210084033613445" "476"
"18" "89fda0284e008d2e0c980fb13f960ab3" "13" "0.0238095238095238" "546"
"19" "89fda0284e008d2e0c980fb13f9509fd" "2" "0.0032626427406199" "613"
"20" "89fda0284e008d2e0c980fb13f995be3" "12" "0.0297029702970297" "404"
"21" "89fda0284e008d2e0c980fb13f9a7b0c" "26" "0.0424143556280587" "613"
"22" "89fda0284e008d2e0c980fb13f955485" "35" "0.0726141078838174" "482"
"23" "89fda0284e008d2e0c980fb13f9992a6" "18" "0.0293637846655791" "613"
"24" "89fda0284e008d2e0c980fb13f97cef7" "25" "0.0457038391224863" "547"
"25" "70c6ba6f55ed21716fe725c21469fe3b" "15" "0.0244698205546493" "613"
"26" "89fda0284e008d2e0c980fb13f99b52b" "1" "0.0029940119760479" "334"
"27" "89fda0284e008d2e0c980fb13f973bdc" "3" "0.00900900900900901" "333"
"28" "89fda0284e008d2e0c980fb13f97bdf2" "0" "0" "273"
"29" "89fda0284e008d2e0c980fb13f95b755" "8" "0.0130505709624796" "613"
"30" "89fda0284e008d2e0c980fb13f99a86d" "26" "0.0424143556280587" "613"
"31" "89fda0284e008d2e0c980fb13f978578" "0" "0" "410"
"32" "89fda0284e008d2e0c980fb13f9735c8" "3" "0.00548446069469835" "547"
"33" "89fda0284e008d2e0c980fb13f966e31" "11" "0.0179445350734095" "613"
"34" "89fda0284e008d2e0c980fb13f980ee3" "0" "0" "470"
"35" "70c6ba6f55ed21716fe725c2146966b6" "0" "0" "207"
"36" "89fda0284e008d2e0c980fb13f9b0cfa" "10" "0.0210084033613445" "476"
"37" "89fda0284e008d2e0c980fb13f94d6ef" "9" "0.0164533820840951" "547"
"38" "89fda0284e008d2e0c980fb13f9ac931" "10" "0.0210084033613445" "476"
"39" "89fda0284e008d2e0c980fb13f9a51a9" "20" "0.0415800415800416" "481"
"40" "89fda0284e008d2e0c980fb13f97a0ca" "2" "0.00495049504950495" "404"
"41" "89fda0284e008d2e0c980fb13f96372c" "24" "0.0509554140127389" "471"
"42" "89fda0284e008d2e0c980fb13f9628e2" "63" "0.115384615384615" "546"
"43" "89fda0284e008d2e0c980fb13f978e69" "4" "0.0152091254752852" "263"
"44" "89fda0284e008d2e0c980fb13f979609" "27" "0.0440456769983687" "613"
"45" "89fda0284e008d2e0c980fb13f9899b3" "4" "0.0152671755725191" "262"
"46" "89fda0284e008d2e0c980fb13f960194" "5" "0.00816993464052288" "612"
"47" "89fda0284e008d2e0c980fb13f9528e1" "5" "0.00914076782449726" "547"
"48" "89fda0284e008d2e0c980fb13f9a94f7" "7" "0.0114192495921697" "613"
"49" "89fda0284e008d2e0c980fb13f98872f" "33" "0.0609981515711645" "541"
"50" "89fda0284e008d2e0c980fb13f9b5439" "3" "0.00549450549450549" "546"
"51" "89fda0284e008d2e0c980fb13f98311d" "2" "0.00593471810089021" "337"
"52" "89fda0284e008d2e0c980fb13f9a3e49" "5" "0.0103950103950104" "481"
"53" "89fda0284e008d2e0c980fb13f999899" "2" "0.00420168067226891" "476"
"54" "89fda0284e008d2e0c980fb13f964e6a" "12" "0.0220994475138122" "543"
"55" "89fda0284e008d2e0c980fb13f983809" "2" "0.004149377593361" "482"
"56" "89fda0284e008d2e0c980fb13f9900d3" "0" "0" "263"
"57" "fcd13ae716841026ee760704bb0d89a7" "0" "0" "203"
"58" "89fda0284e008d2e0c980fb13f956856" "5" "0.0145348837209302" "344"
"59" "89fda0284e008d2e0c980fb13f96442a" "9" "0.0146818923327896" "613"
"60" "89fda0284e008d2e0c980fb13f99a47e" "0" "0" "478"
"61" "89fda0284e008d2e0c980fb13f999c89" "4" "0.00840336134453781" "476"
"62" "89fda0284e008d2e0c980fb13f951435" "5" "0.00815660685154975" "613"
"63" "89fda0284e008d2e0c980fb13f98f9d5" "1" "0.0029585798816568" "338"
"64" "89fda0284e008d2e0c980fb13f9afb45" "1" "0.00483091787439614" "207"
"65" "89fda0284e008d2e0c980fb13f9ad060" "11" "0.020109689213894" "547"
"66" "89fda0284e008d2e0c980fb13f981bae" "1" "0.00184842883548983" "541"
"67" "89fda0284e008d2e0c980fb13f9a88cd" "6" "0.0126050420168067" "476"
"68" "89fda0284e008d2e0c980fb13f966281" "19" "0.0347349177330896" "547"
"69" "89fda0284e008d2e0c980fb13f95fe45" "18" "0.0293159609120521" "614"
"70" "89fda0284e008d2e0c980fb13f9ad383" "0" "0" "65"
"71" "fcd13ae716841026ee760704bb0d99ee" "20" "0.032626427406199" "613"
"72" "fcd13ae716841026ee760704bb0da4a8" "4" "0.0116618075801749" "343"
"73" "89fda0284e008d2e0c980fb13f966efc" "18" "0.0328467153284672" "548"
"74" "89fda0284e008d2e0c980fb13f970c18" "27" "0.0570824524312896" "473"
"75" "89fda0284e008d2e0c980fb13f992e2c" "11" "0.0200729927007299" "548"
"76" "89fda0284e008d2e0c980fb13f99f651" "0" "0" "477"
"77" "70c6ba6f55ed21716fe725c21469e6ed" "5" "0.00815660685154975" "613"
"78" "89fda0284e008d2e0c980fb13f996b98" "36" "0.0587275693311582" "613"
"79" "89fda0284e008d2e0c980fb13f95dbc7" "2" "0.00421940928270042" "474"
"80" "89fda0284e008d2e0c980fb13f95477d" "6" "0.010989010989011" "546"
"81" "89fda0284e008d2e0c980fb13f99886e" "4" "0.0120481927710843" "332"
"82" "89fda0284e008d2e0c980fb13f978216" "16" "0.0294659300184162" "543"
"83" "89fda0284e008d2e0c980fb13f964b7e" "17" "0.0277324632952692" "613"
"84" "89fda0284e008d2e0c980fb13f9ad888" "6" "0.0125523012552301" "478"
"85" "89fda0284e008d2e0c980fb13f9623b3" "3" "0.00489396411092985" "613"
"86" "89fda0284e008d2e0c980fb13f968eb0" "16" "0.0261011419249592" "613"
"87" "89fda0284e008d2e0c980fb13f98e475" "6" "0.021978021978022" "273"
"88" "89fda0284e008d2e0c980fb13f950688" "6" "0.0110497237569061" "543"
"89" "89fda0284e008d2e0c980fb13f98736b" "7" "0.0114192495921697" "613"
"90" "89fda0284e008d2e0c980fb13f9b46eb" "18" "0.032967032967033" "546"
"91" "89fda0284e008d2e0c980fb13f94fae5" "19" "0.040084388185654" "474"
"92" "70c6ba6f55ed21716fe725c21469c91d" "4" "0.00831600831600832" "481"
"93" "89fda0284e008d2e0c980fb13f97cb4f" "1" "0.00289017341040462" "346"
"94" "89fda0284e008d2e0c980fb13f956dab" "5" "0.0124688279301746" "401"
"95" "89fda0284e008d2e0c980fb13f99d8c6" "6" "0.011090573012939" "541"
"96" "89fda0284e008d2e0c980fb13f9b5305" "16" "0.0772946859903382" "207"
"97" "89fda0284e008d2e0c980fb13f94f3f9" "3" "0.00738916256157635" "406"
"98" "89fda0284e008d2e0c980fb13f97b53a" "1" "0.0029585798816568" "338"
"99" "89fda0284e008d2e0c980fb13f96554b" "15" "0.0244698205546493" "613"
"100" "89fda0284e008d2e0c980fb13f99a3ad" "14" "0.0258780036968577" "541"
"101" "89fda0284e008d2e0c980fb13f980116" "13" "0.0238095238095238" "546"
"102" "89fda0284e008d2e0c980fb13f994cf8" "16" "0.0261011419249592" "613"
"103" "89fda0284e008d2e0c980fb13f9b1273" "13" "0.0239410681399632" "543"
"104" "89fda0284e008d2e0c980fb13f985a55" "0" "0" "471"
"105" "89fda0284e008d2e0c980fb13f970282" "9" "0.0263929618768328" "341"
"106" "89fda0284e008d2e0c980fb13f98fe2e" "2" "0.00589970501474926" "339"
"107" "89fda0284e008d2e0c980fb13f9978cb" "9" "0.0257879656160458" "349"
"108" "89fda0284e008d2e0c980fb13f972945" "8" "0.0239520958083832" "334"
"109" "89fda0284e008d2e0c980fb13f9a6042" "14" "0.0256880733944954" "545"
"110" "89fda0284e008d2e0c980fb13f96e561" "0" "0" "340"
"111" "89fda0284e008d2e0c980fb13f975e5c" "4" "0.00987654320987654" "405"
"112" "89fda0284e008d2e0c980fb13f97bafa" "11" "0.0179445350734095" "613"
"113" "89fda0284e008d2e0c980fb13f95f7a6" "27" "0.0440456769983687" "613"
"114" "89fda0284e008d2e0c980fb13f95d481" "25" "0.0735294117647059" "340"
"115" "89fda0284e008d2e0c980fb13f9ab9a8" "4" "0.0117647058823529" "340"
"116" "89fda0284e008d2e0c980fb13f958239" "20" "0.0364963503649635" "548"
"117" "89fda0284e008d2e0c980fb13f9b323a" "41" "0.0748175182481752" "548"
"118" "89fda0284e008d2e0c980fb13f992875" "33" "0.0684647302904564" "482"
"119" "89fda0284e008d2e0c980fb13f983d38" "12" "0.0218978102189781" "548"
"120" "89fda0284e008d2e0c980fb13f95f2b4" "17" "0.0357142857142857" "476"
"121" "89fda0284e008d2e0c980fb13f95e9b4" "7" "0.0147058823529412" "476"
"122" "70c6ba6f55ed21716fe725c2146903eb" "14" "0.103703703703704" "135"
"123" "89fda0284e008d2e0c980fb13f99e74b" "18" "0.0328467153284672" "548"
"124" "89fda0284e008d2e0c980fb13f9b2365" "8" "0.0197044334975369" "406"
"125" "89fda0284e008d2e0c980fb13f97583c" "4" "0.0115942028985507" "345"
"126" "fcd13ae716841026ee760704bb0d89b2" "32" "0.0771084337349398" "415"
"127" "89fda0284e008d2e0c980fb13f99fba3" "9" "0.0221674876847291" "406"
"128" "89fda0284e008d2e0c980fb13f97d834" "18" "0.0378151260504202" "476"
"129" "89fda0284e008d2e0c980fb13f961f23" "24" "0.0438756855575868" "547"
"130" "89fda0284e008d2e0c980fb13f99fa39" "0" "0" "273"
"131" "89fda0284e008d2e0c980fb13f9b1ab6" "16" "0.0470588235294118" "340"
"132" "89fda0284e008d2e0c980fb13f95bb9f" "4" "0.00980392156862745" "408"
"133" "89fda0284e008d2e0c980fb13f97256b" "9" "0.0269461077844311" "334"
"134" "89fda0284e008d2e0c980fb13f9aee39" "23" "0.0559610705596107" "411"
"135" "89fda0284e008d2e0c980fb13f987fd5" "1" "0.00246305418719212" "406"
"136" "89fda0284e008d2e0c980fb13f95cb81" "4" "0.0196078431372549" "204"
"137" "89fda0284e008d2e0c980fb13f958a63" "0" "0" "65"
"138" "fcd13ae716841026ee760704bb0d7fee" "3" "0.00869565217391304" "345"
"139" "89fda0284e008d2e0c980fb13f982710" "11" "0.0200729927007299" "548"
"140" "89fda0284e008d2e0c980fb13f95300e" "7" "0.0147058823529412" "476"
"141" "89fda0284e008d2e0c980fb13f9a5551" "5" "0.00912408759124088" "548"
"142" "89fda0284e008d2e0c980fb13f96ef9f" "5" "0.0120481927710843" "415"
"143" "89fda0284e008d2e0c980fb13f979bb8" "4" "0.0118694362017804" "337"
"144" "89fda0284e008d2e0c980fb13f9597bc" "23" "0.0552884615384615" "416"
"145" "89fda0284e008d2e0c980fb13f967b9f" "1" "0.003690036900369" "271"
"146" "89fda0284e008d2e0c980fb13f9a6d98" "0" "0" "207"
"147" "89fda0284e008d2e0c980fb13f9aa5ec" "5" "0.0103950103950104" "481"
"148" "89fda0284e008d2e0c980fb13f997d88" "9" "0.0216346153846154" "416"
"149" "70c6ba6f55ed21716fe725c214692ffd" "6" "0.0171919770773639" "349"
"150" "89fda0284e008d2e0c980fb13f992222" "7" "0.0127737226277372" "548"
"151" "89fda0284e008d2e0c980fb13f99c940" "2" "0.00588235294117647" "340"
"152" "89fda0284e008d2e0c980fb13f987d0e" "7" "0.0127737226277372" "548"
"153" "89fda0284e008d2e0c980fb13f976d3e" "11" "0.0411985018726592" "267"
"154" "70c6ba6f55ed21716fe725c214694428" "5" "0.0104602510460251" "478"
"155" "70c6ba6f55ed21716fe725c21469a1e0" "8" "0.016597510373444" "482"
"156" "70c6ba6f55ed21716fe725c214694627" "7" "0.0207100591715976" "338"
"157" "89fda0284e008d2e0c980fb13f9b19cd" "2" "0.00980392156862745" "204"
"158" "89fda0284e008d2e0c980fb13f94f406" "7" "0.0127737226277372" "548"
"159" "89fda0284e008d2e0c980fb13f9a6a78" "9" "0.0216346153846154" "416"
"160" "89fda0284e008d2e0c980fb13f97478a" "15" "0.0360576923076923" "416"
"161" "70c6ba6f55ed21716fe725c21469d627" "4" "0.00975609756097561" "410"
"162" "89fda0284e008d2e0c980fb13f950883" "0" "0" "340"
"163" "89fda0284e008d2e0c980fb13f952278" "29" "0.0714285714285714" "406"
"164" "89fda0284e008d2e0c980fb13f9b1c77" "16" "0.0291970802919708" "548"
"165" "89fda0284e008d2e0c980fb13f976515" "3" "0.010989010989011" "273"
"166" "89fda0284e008d2e0c980fb13f98317d" "27" "0.0492700729927007" "548"
"167" "89fda0284e008d2e0c980fb13f98b956" "25" "0.0518672199170125" "482"
"168" "89fda0284e008d2e0c980fb13f97540b" "0" "0" "201"
"169" "89fda0284e008d2e0c980fb13f9866e8" "16" "0.0291970802919708" "548"
"170" "89fda0284e008d2e0c980fb13f96f087" "1" "0.00291545189504373" "343"
"171" "89fda0284e008d2e0c980fb13f97ae9f" "2" "0.00481927710843374" "415"
"172" "89fda0284e008d2e0c980fb13f985425" "7" "0.0145530145530146" "481"
"173" "89fda0284e008d2e0c980fb13f96c45a" "9" "0.0186721991701245" "482"
"174" "89fda0284e008d2e0c980fb13f954d49" "4" "0.0145985401459854" "274"
"175" "89fda0284e008d2e0c980fb13f976b14" "0" "0" "476"
"176" "89fda0284e008d2e0c980fb13f97fc0a" "20" "0.0484261501210654" "413"
"177" "70c6ba6f55ed21716fe725c21469ace7" "9" "0.0256410256410256" "351"
"178" "89fda0284e008d2e0c980fb13f95ad0e" "0" "0" "203"
"179" "89fda0284e008d2e0c980fb13f99f90d" "9" "0.0186335403726708" "483"
"180" "89fda0284e008d2e0c980fb13f98af77" "48" "0.0993788819875776" "483"
"181" "89fda0284e008d2e0c980fb13f958016" "21" "0.075812274368231" "277"
"182" "89fda0284e008d2e0c980fb13f9a68f3" "9" "0.0218978102189781" "411"
"183" "89fda0284e008d2e0c980fb13f95205a" "8" "0.0194647201946472" "411"
"184" "89fda0284e008d2e0c980fb13f97031c" "13" "0.0643564356435644" "202"
"185" "89fda0284e008d2e0c980fb13f95623e" "18" "0.0372670807453416" "483"
"186" "89fda0284e008d2e0c980fb13f998a68" "4" "0.0082815734989648" "483"
"187" "89fda0284e008d2e0c980fb13f95a0fb" "2" "0.0072992700729927" "274"
"188" "89fda0284e008d2e0c980fb13f98d506" "9" "0.0186335403726708" "483"
"189" "89fda0284e008d2e0c980fb13f98ed57" "16" "0.0331262939958592" "483"
"190" "89fda0284e008d2e0c980fb13f9692b3" "6" "0.0145278450363196" "413"
"191" "89fda0284e008d2e0c980fb13f98d9d7" "8" "0.023121387283237" "346"
"192" "89fda0284e008d2e0c980fb13f96114d" "2" "0.00985221674876847" "203"
"193" "89fda0284e008d2e0c980fb13f9849f8" "8" "0.0291970802919708" "274"
"194" "89fda0284e008d2e0c980fb13f9a9d0f" "0" "0" "132"
"195" "89fda0284e008d2e0c980fb13f98abea" "15" "0.036319612590799" "413"
"196" "89fda0284e008d2e0c980fb13f98c6e0" "3" "0.00872093023255814" "344"
"197" "89fda0284e008d2e0c980fb13f9ab153" "8" "0.121212121212121" "66"
"198" "89fda0284e008d2e0c980fb13f98a6d5" "9" "0.0215827338129496" "417"
"199" "89fda0284e008d2e0c980fb13f955cb1" "1" "0.00363636363636364" "275"
"200" "89fda0284e008d2e0c980fb13f96a8a3" "0" "0" "347"
"201" "89fda0284e008d2e0c980fb13f96cf64" "0" "0" "136"
"202" "89fda0284e008d2e0c980fb13f990df9" "0" "0" "133"
